Adult,Accuracy,Theil Index,Consistency,False Positive Rate - Unprivileged,False Positive Rate - Privileged,False Negative Rate - Unprivileged,False Negative Rate - Privileged,Accuracy - Unprivileged,Accuracy - Privileged,False Discovery Rate - Unprivileged,False Discovery Rate - Privileged,False Omission Rate - Unprivileged,False Omission Rate - Privileged,Num True Pos,Num True Neg,Num False Pos,Num False Neg,Num True Pos - Privileged,Num True Neg - Privileged,Num False Pos - Privileged,Num False Neg - Privileged,Num True Pos - Unprivileged,Num True Neg - Unprivileged,Num False Pos - Unprivileged,Num False Neg - Unprivileged,F1 Score,F1 Score - Privileged,F1 Score - Unprivileged,Base Rate - Privileged,Base Rate - Unprivileged
Logistic Regression,0.8359,0.1384,0.8384,0.0213,0.0984,0.5404,0.4322,0.9163,0.7983,0.2531,0.2789,0.0701,0.1768,1863,9478,709,1517,1624,5753,628,1236,239,3725,81,281,0.626,0.6354,0.569,0.3138,0.1108
RW,0.8359,0.1384,0.8384,0.0213,0.0984,0.5404,0.4322,0.9163,0.7983,0.2531,0.2789,0.0701,0.1768,1863,9478,709,1517,1624,5753,628,1236,239,3725,81,281,0.626,0.6354,0.569,0.2473,0.2473
DIR,0.8326,0.1298,0.8384,0.0305,0.1249,0.4865,0.3864,0.9147,0.7942,0.3029,0.3123,0.0642,0.1652,2022,9274,913,1358,1755,5584,797,1105,267,3690,116,253,0.6404,0.6486,0.5914,0.3138,0.1108
EGR,0.8165,0.1592,0.8384,0.0996,0.0559,0.3019,0.558,0.8761,0.7887,0.5108,0.2202,0.0438,0.2094,1627,9451,736,1753,1264,6024,357,1596,363,3427,379,157,0.5666,0.5642,0.5753,0.3138,0.1108
GSR,0.7561,0.1229,0.8384,0.0011,0.3615,0.8327,0.1976,0.899,0.6892,0.044,0.5013,0.1022,0.1218,2382,7876,2311,998,2295,4074,2307,565,87,3802,4,433,0.5901,0.6151,0.2848,0.3138,0.1108
PR,0.82,0.1517,0.8384,0.0105,0.1178,0.6731,0.4545,0.9098,0.7779,0.1905,0.3253,0.085,0.1876,1730,9395,792,1650,1560,5629,752,1300,170,3766,40,350,0.5862,0.6032,0.4658,0.3138,0.1108
CEOP,0.8243,0.1568,0.8384,0,0.0984,1,0.4322,0.8798,0.7983,0,0.2789,0.1202,0.1768,1624,9559,628,1756,1624,5753,628,1236,0,3806,0,520,0.5767,0.6354,0,0.3138,0.1108
ROC,0.7675,0.1101,0.8384,0.248,0.2147,0.1135,0.2731,0.7681,0.7672,0.6719,0.3972,0.0202,0.1348,2540,7873,2314,840,2079,5011,1370,781,461,2862,944,59,0.617,0.6591,0.479,0.3138,0.1108
EOP,0.8103,0.158,0.8384,0.0857,0.0854,0.5038,0.5035,0.8641,0.7852,0.5582,0.2774,0.07,0.1979,1678,9316,871,1702,1420,5836,545,1440,258,3480,326,262,0.566,0.5886,0.4674,0.3138,0.1108
RW + EGR,0.8165,0.1592,0.8384,0.0996,0.0559,0.3019,0.558,0.8761,0.7887,0.5108,0.2202,0.0438,0.2094,1627,9451,736,1753,1264,6024,357,1596,363,3427,379,157,0.5666,0.5642,0.5753,0.2473,0.2473
RW + GSR,0.7561,0.1229,0.8384,0.0011,0.3615,0.8327,0.1976,0.899,0.6892,0.044,0.5013,0.1022,0.1218,2382,7876,2311,998,2295,4074,2307,565,87,3802,4,433,0.5901,0.6151,0.2848,0.2473,0.2473
RW + PR,0.82,0.1517,0.8384,0.0105,0.1178,0.6731,0.4545,0.9098,0.7779,0.1905,0.3253,0.085,0.1876,1730,9395,792,1650,1560,5629,752,1300,170,3766,40,350,0.5862,0.6032,0.4658,0.2473,0.2473
RW + CEOP,0.8243,0.1568,0.8384,0,0.0984,1,0.4322,0.8798,0.7983,0,0.2789,0.1202,0.1768,1624,9559,628,1756,1624,5753,628,1236,0,3806,0,520,0.5767,0.6354,0,0.2473,0.2473
RW + ROC,0.7675,0.1101,0.8384,0.248,0.2147,0.1135,0.2731,0.7681,0.7672,0.6719,0.3972,0.0202,0.1348,2540,7873,2314,840,2079,5011,1370,781,461,2862,944,59,0.617,0.6591,0.479,0.2473,0.2473
RW + EOP,0.8093,0.1588,0.8384,0.087,0.0857,0.5135,0.5042,0.8618,0.7848,0.5668,0.2784,0.0714,0.1982,1671,9309,878,1709,1418,5834,547,1442,253,3475,331,267,0.5637,0.5878,0.4583,0.2473,0.2473
DIR + EGR,0.8147,0.155,0.8384,0.1282,0.0549,0.2385,0.5427,0.8585,0.7942,0.552,0.2111,0.036,0.2047,1704,9349,838,1676,1308,6031,350,1552,396,3318,488,124,0.5755,0.579,0.5641,0.3138,0.1108
DIR + GSR,0.7329,0.1145,0.8384,0.0008,0.4368,0.9327,0.122,0.8872,0.6606,0.0789,0.526,0.1131,0.0885,2546,7397,2790,834,2511,3594,2787,349,35,3803,3,485,0.5842,0.6156,0.1254,0.3138,0.1108
DIR + PR,0.8195,0.1568,0.8384,0.0081,0.108,0.6923,0.4787,0.9096,0.7773,0.1623,0.3161,0.0871,0.1939,1651,9467,720,1729,1491,5692,689,1369,160,3775,31,360,0.5742,0.5917,0.4501,0.3138,0.1108
