German,Accuracy,Theil Index,Consistency,False Positive Rate - Unprivileged,False Positive Rate - Privileged,False Negative Rate - Unprivileged,False Negative Rate - Privileged,Accuracy - Unprivileged,Accuracy - Privileged,False Discovery Rate - Unprivileged,False Discovery Rate - Privileged,False Omission Rate - Unprivileged,False Omission Rate - Privileged,Num True Pos,Num True Neg,Num False Pos,Num False Neg,Num True Pos - Privileged,Num True Neg - Privileged,Num False Pos - Privileged,Num False Neg - Privileged,Num True Pos - Unprivileged,Num True Neg - Unprivileged,Num False Pos - Unprivileged,Num False Neg - Unprivileged,F1 Score,F1 Score - Privileged,F1 Score - Unprivileged,Base Rate - Privileged,Base Rate - Unprivileged
Logistic Regression,0.7233,0.1835,0.674,0.4286,0.4861,0.4138,0.1517,0.58,0.752,0.3462,0.1882,0.5,0.4219,168,49,44,39,151,37,35,27,17,12,9,12,0.8019,0.8297,0.6182,0.7221,0.596
RW,0.7233,0.1835,0.674,0.4286,0.4861,0.4138,0.1517,0.58,0.752,0.3462,0.1882,0.5,0.4219,168,49,44,39,151,37,35,27,17,12,9,12,0.8019,0.8297,0.6182,0.7171,0.6354
DIR,0.7333,0.1783,0.674,0.2857,0.5,0.4138,0.1461,0.64,0.752,0.2609,0.1915,0.4444,0.4194,169,51,42,38,152,36,36,26,17,15,6,12,0.8086,0.8306,0.6538,0.7221,0.596
GSR,0.7233,0.1835,0.674,0.4286,0.4861,0.4138,0.1517,0.58,0.752,0.3462,0.1882,0.5,0.4219,168,49,44,39,151,37,35,27,17,12,9,12,0.8019,0.8297,0.6182,0.7221,0.596
EGR,0.7533,0.1327,0.674,0.6667,0.4861,0.0345,0.1348,0.7,0.764,0.3333,0.1852,0.125,0.3934,182,44,49,25,154,37,35,24,28,7,14,1,0.8311,0.8392,0.7887,0.7221,0.596
PR,0.6933,0.1884,0.674,0.7143,0.5278,0.4483,0.1461,0.44,0.744,0.4839,0.2,0.6842,0.4333,168,40,53,39,152,34,38,26,16,6,15,13,0.785,0.8261,0.5333,0.7221,0.596
CEOP,0.69,0.0973,0.674,0.4286,1,0.4138,0,0.58,0.712,0.3462,0.288,0.5,0,195,12,81,12,178,0,72,0,17,12,9,12,0.8075,0.8318,0.6182,0.7221,0.596
ROC,0.7133,0.2624,0.674,0.4762,0.1944,0.3448,0.2921,0.6,0.736,0.3448,0.1,0.4762,0.4727,145,69,24,62,126,58,14,52,19,11,10,10,0.7713,0.7925,0.6552,0.7221,0.596
EOP,0.56,0.4011,0.674,0.4286,0.4722,0.4138,0.4326,0.58,0.556,0.3462,0.2519,0.5,0.6696,118,50,43,89,101,38,34,77,17,12,9,12,0.6413,0.6454,0.6182,0.7221,0.596
RW + EGR,0.7533,0.1327,0.674,0.6667,0.4861,0.0345,0.1348,0.7,0.764,0.3333,0.1852,0.125,0.3934,182,44,49,25,154,37,35,24,28,7,14,1,0.8311,0.8392,0.7887,0.7171,0.6354
RW + GSR,0.7233,0.1835,0.674,0.4286,0.4861,0.4138,0.1517,0.58,0.752,0.3462,0.1882,0.5,0.4219,168,49,44,39,151,37,35,27,17,12,9,12,0.8019,0.8297,0.6182,0.7171,0.6354
RW + PR,0.6933,0.1884,0.674,0.7143,0.5278,0.4483,0.1461,0.44,0.744,0.4839,0.2,0.6842,0.4333,168,40,53,39,152,34,38,26,16,6,15,13,0.785,0.8261,0.5333,0.7171,0.6354
RW + CEOP,0.69,0.0973,0.674,0.4286,1,0.4138,0,0.58,0.712,0.3462,0.288,0.5,0,195,12,81,12,178,0,72,0,17,12,9,12,0.8075,0.8318,0.6182,0.7171,0.6354
RW + ROC,0.7133,0.2624,0.674,0.4762,0.1944,0.3448,0.2921,0.6,0.736,0.3448,0.1,0.4762,0.4727,145,69,24,62,126,58,14,52,19,11,10,10,0.7713,0.7925,0.6552,0.7171,0.6354
