,Accuracy,F1 Score,Theil Index,False Positive Rate - Unprivileged,False Positive Rate - Privileged,False Negative Rate - Unprivileged,False Negative Rate - Privileged,Accuracy - Unprivileged,Accuracy - Privileged,False Discovery Rate - Unprivileged,False Discovery Rate - Privileged,False Omission Rate - Unprivileged,False Omission Rate - Privileged,Num True Pos,Num True Neg,Num False Pos,Num False Neg,Num True Pos - Privileged,Num True Neg - Privileged,Num False Pos - Privileged,Num False Neg - Privileged,Num True Pos - Unprivileged,Num True Neg - Unprivileged,Num False Pos - Unprivileged,Num False Neg - Unprivileged,F1 Score - Privileged,F1 Score - Unprivileged,Privileged base Rate,Unprivileged base Rate,Consistency
DIR,0.8432,0.6549,0.1238,0.0297,0.1105,0.4487,0.3844,0.9231,0.8048,0.2974,0.2861,0.0555,0.1622,2018.0,9422.0,815.0,1312.0,1744.0,5627.0,699.0,1089.0,274.0,3795.0,116.0,223.0,0.6611,0.6178,0.2667,0.0885,0.9253
DIR + EOP,0.8161,0.6023,0.1398,0.1048,0.1018,0.4125,0.4363,0.8605,0.7947,0.584,0.2874,0.0553,0.1787,1889.0,9183.0,1054.0,1441.0,1597.0,5682.0,644.0,1236.0,292.0,3501.0,410.0,205.0,0.6295,0.4871,0.2447,0.1593,0.8795
DIR + CEOP,0.8316,0.6042,0.144,0.0,0.1105,1.0,0.3844,0.8873,0.8048,0.0,0.2861,0.1127,0.1622,1744.0,9538.0,699.0,1586.0,1744.0,5627.0,699.0,1089.0,0.0,3911.0,0.0,497.0,0.6611,0.0,0.2667,0.0,0.9218
DIR + ROC,0.7873,0.6302,0.1089,0.2373,0.1718,0.0905,0.2916,0.7793,0.7911,0.6725,0.3513,0.0149,0.1362,2459.0,8222.0,2015.0,871.0,2007.0,5239.0,1087.0,826.0,452.0,2983.0,928.0,45.0,0.6772,0.4816,0.3378,0.3131,0.8788
DIR + GFC,0.2454,0.3942,0.034,1.0,1.0,0.0,0.0,0.1127,0.3093,0.8873,0.6907,0.0,0.0,3330.0,0.0,10237.0,0.0,2833.0,0.0,6326.0,0.0,497.0,0.0,3911.0,0.0,0.4725,0.2027,1.0,1.0,1.0
DIR + GFC + EOP,0.5053,0.3365,0.1871,0.5004,0.4942,0.501,0.4868,0.4995,0.5081,0.8875,0.6825,0.113,0.3012,1702.0,5154.0,5083.0,1628.0,1454.0,3200.0,3126.0,1379.0,248.0,1954.0,1957.0,249.0,0.3923,0.1836,0.5001,0.5002,0.5988
DIR + GFC + CEOP,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3330.0,10237.0,0.0,0.0,2833.0,6326.0,0.0,0.0,497.0,3911.0,0.0,0.0,1.0,1.0,0.3093,0.1127,0.8464
DIR + GFC + ROC,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3330.0,10237.0,0.0,0.0,2833.0,6326.0,0.0,0.0,497.0,3911.0,0.0,0.0,1.0,1.0,0.3093,0.1127,0.8464
DIR + PR,0.8448,0.6524,0.1258,0.0215,0.1053,0.5151,0.3879,0.9229,0.8073,0.2585,0.2775,0.0627,0.1626,1975.0,9487.0,750.0,1355.0,1734.0,5660.0,666.0,1099.0,241.0,3827.0,84.0,256.0,0.6627,0.5864,0.262,0.0737,0.9204
DIR + PR + EOP,0.8104,0.5647,0.1555,0.0903,0.088,0.495,0.4998,0.8641,0.7846,0.5844,0.2822,0.0647,0.1971,1668.0,9327.0,910.0,1662.0,1417.0,5769.0,557.0,1416.0,251.0,3558.0,353.0,246.0,0.5896,0.4559,0.2155,0.137,0.8698
