,Accuracy,F1 Score,Theil Index,False Positive Rate - Unprivileged,False Positive Rate - Privileged,False Negative Rate - Unprivileged,False Negative Rate - Privileged,Accuracy - Unprivileged,Accuracy - Privileged,False Discovery Rate - Unprivileged,False Discovery Rate - Privileged,False Omission Rate - Unprivileged,False Omission Rate - Privileged,Num True Pos,Num True Neg,Num False Pos,Num False Neg,Num True Pos - Privileged,Num True Neg - Privileged,Num False Pos - Privileged,Num False Neg - Privileged,Num True Pos - Unprivileged,Num True Neg - Unprivileged,Num False Pos - Unprivileged,Num False Neg - Unprivileged,F1 Score - Privileged,F1 Score - Unprivileged,Privileged base Rate,Unprivileged base Rate,Consistency
Logistic Regression,0.8933,0.502,0.0912,0.0604,0.0342,0.6818,0.5813,0.7742,0.8966,0.3438,0.3609,0.2083,0.0801,492.0,7679.0,277.0,699.0,471.0,7508.0,266.0,654.0,21.0,171.0,11.0,45.0,0.5059,0.4286,0.0828,0.129,0.9825
EOP,0.8781,0.4718,0.096,0.0495,0.0531,0.7576,0.5716,0.7621,0.8813,0.36,0.4615,0.2242,0.0803,498.0,7534.0,422.0,693.0,482.0,7361.0,413.0,643.0,16.0,173.0,9.0,50.0,0.4772,0.3516,0.1006,0.1008,0.9549
CEOP,0.8741,0.1273,0.1311,0.0604,0.0044,0.6818,0.944,0.7742,0.8768,0.3438,0.3505,0.2083,0.1207,84.0,7911.0,45.0,1107.0,63.0,7740.0,34.0,1062.0,21.0,171.0,11.0,45.0,0.1031,0.4286,0.0109,0.129,0.9807
ROC,0.8909,0.4291,0.1015,0.044,0.0224,0.7576,0.6809,0.7661,0.8944,0.3333,0.3265,0.2232,0.0916,375.0,7774.0,182.0,816.0,359.0,7600.0,174.0,766.0,16.0,174.0,8.0,50.0,0.4331,0.3556,0.0599,0.0968,0.9863
GFC,0.8909,0.4406,0.1,0.0549,0.0244,0.6818,0.6693,0.7782,0.894,0.3226,0.3381,0.2074,0.0903,393.0,7756.0,200.0,798.0,372.0,7584.0,190.0,753.0,21.0,172.0,10.0,45.0,0.441,0.433,0.0632,0.125,0.9885
GFC + EOP,0.8853,0.429,0.102,0.0495,0.0313,0.7273,0.6658,0.7702,0.8885,0.3333,0.3926,0.2172,0.0905,394.0,7704.0,252.0,797.0,376.0,7531.0,243.0,749.0,18.0,173.0,9.0,48.0,0.4312,0.3871,0.0696,0.1089,0.9788
GFC + CEOP,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1191.0,7956.0,0.0,0.0,1125.0,7774.0,0.0,0.0,66.0,182.0,0.0,0.0,1.0,1.0,0.1264,0.2661,0.8932
GFC + ROC,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1191.0,7956.0,0.0,0.0,1125.0,7774.0,0.0,0.0,66.0,182.0,0.0,0.0,1.0,1.0,0.1264,0.2661,0.8932
PR,0.894,0.4995,0.0917,0.0604,0.0324,0.6515,0.5902,0.7823,0.8971,0.3235,0.3534,0.2009,0.0811,484.0,7693.0,263.0,707.0,461.0,7522.0,252.0,664.0,23.0,171.0,11.0,43.0,0.5016,0.46,0.0801,0.1371,0.9907
PR + EOP,0.8776,0.4667,0.0968,0.0495,0.0527,0.7424,0.5796,0.7661,0.8807,0.3462,0.4643,0.2207,0.0813,490.0,7537.0,419.0,701.0,473.0,7364.0,410.0,652.0,17.0,173.0,9.0,49.0,0.4711,0.3696,0.0992,0.1048,0.9619
PR + CEOP,0.8784,0.2415,0.122,0.0604,0.0112,0.6515,0.8631,0.7823,0.8811,0.3235,0.361,0.2009,0.1122,177.0,7858.0,98.0,1014.0,154.0,7687.0,87.0,971.0,23.0,171.0,11.0,43.0,0.2255,0.46,0.0271,0.1371,0.9681
PR + ROC,0.4934,0.3374,0.0575,0.6209,0.5801,0.0,0.0098,0.5444,0.492,0.6313,0.8019,0.0,0.0034,1180.0,3333.0,4623.0,11.0,1114.0,3264.0,4510.0,11.0,66.0,69.0,113.0,0.0,0.3301,0.5388,0.632,0.7218,0.962
EGR,0.8947,0.5124,0.0896,0.033,0.035,0.7576,0.5644,0.7742,0.8981,0.2727,0.357,0.2212,0.078,506.0,7678.0,278.0,685.0,490.0,7502.0,272.0,635.0,16.0,176.0,6.0,50.0,0.5193,0.3636,0.0856,0.0887,0.9772
EGR + EOP,0.885,0.4245,0.1026,0.0275,0.0314,0.7727,0.6684,0.7742,0.8881,0.25,0.3955,0.2237,0.0908,388.0,7707.0,249.0,803.0,373.0,7530.0,244.0,752.0,15.0,177.0,5.0,51.0,0.4282,0.3488,0.0693,0.0806,0.9557
EGR + CEOP,0.8806,0.2768,0.1186,0.0275,0.0135,0.803,0.8258,0.7661,0.8838,0.2778,0.3488,0.2304,0.108,209.0,7846.0,110.0,982.0,196.0,7669.0,105.0,929.0,13.0,177.0,5.0,53.0,0.2749,0.3095,0.0338,0.0726,0.9625
EGR + ROC,0.8933,0.5025,0.0912,0.0275,0.0351,0.803,0.5733,0.7661,0.8968,0.2778,0.3625,0.2304,0.0792,493.0,7678.0,278.0,698.0,480.0,7501.0,273.0,645.0,13.0,177.0,5.0,53.0,0.5112,0.3095,0.0846,0.0726,0.976
GSR,0.8934,0.4946,0.0924,0.033,0.0328,0.7727,0.5893,0.7702,0.8968,0.2857,0.3556,0.2247,0.081,477.0,7695.0,261.0,714.0,462.0,7519.0,255.0,663.0,15.0,176.0,6.0,51.0,0.5016,0.3448,0.0806,0.0847,0.9788
GSR + EOP,0.8899,0.4333,0.1011,0.044,0.0248,0.7727,0.6711,0.7621,0.8935,0.3478,0.3428,0.2267,0.0906,385.0,7755.0,201.0,806.0,370.0,7581.0,193.0,755.0,15.0,174.0,8.0,51.0,0.4384,0.3371,0.0633,0.0927,0.969
GSR + CEOP,0.8783,0.2189,0.1237,0.033,0.0093,0.7727,0.8747,0.7702,0.8813,0.2857,0.338,0.2247,0.1133,156.0,7878.0,78.0,1035.0,141.0,7702.0,72.0,984.0,15.0,176.0,6.0,51.0,0.2108,0.3448,0.0239,0.0847,0.9704
GSR + ROC,0.8479,0.5888,0.0595,0.1154,0.1511,0.3333,0.1538,0.8266,0.8485,0.3231,0.5524,0.1202,0.0255,996.0,6760.0,1196.0,195.0,952.0,6599.0,1175.0,173.0,44.0,161.0,21.0,22.0,0.5855,0.6718,0.239,0.2621,0.9521
DIR,0.8832,0.3163,0.1146,0.0385,0.0151,0.7727,0.7938,0.7661,0.8865,0.3182,0.3352,0.2257,0.1044,247.0,7832.0,124.0,944.0,232.0,7657.0,117.0,893.0,15.0,175.0,7.0,51.0,0.3148,0.3409,0.0392,0.0887,0.9974
DIR + EOP,0.8551,0.3001,0.1219,0.033,0.053,0.9091,0.7529,0.7339,0.8585,0.5,0.5971,0.2542,0.1032,284.0,7538.0,418.0,907.0,278.0,7362.0,412.0,847.0,6.0,176.0,6.0,60.0,0.3063,0.1538,0.0775,0.0484,0.9379
DIR + CEOP,0.8707,0.0247,0.138,0.0385,0.0,0.7727,1.0,0.7661,0.8736,0.3182,0.0,0.2257,0.1264,15.0,7949.0,7.0,1176.0,0.0,7774.0,0.0,1125.0,15.0,175.0,7.0,51.0,0.0,0.3409,0.0,0.0887,0.9963
DIR + ROC,0.8784,0.3136,0.1159,0.044,0.0215,0.7727,0.7876,0.7621,0.8817,0.3478,0.4113,0.2267,0.1043,254.0,7781.0,175.0,937.0,239.0,7607.0,167.0,886.0,15.0,174.0,8.0,51.0,0.3122,0.3371,0.0456,0.0927,1.0
DIR + GFC,0.8824,0.3181,0.1146,0.033,0.0167,0.7727,0.7902,0.7702,0.8855,0.2857,0.3552,0.2247,0.1042,251.0,7820.0,136.0,940.0,236.0,7644.0,130.0,889.0,15.0,176.0,6.0,51.0,0.3166,0.3448,0.0411,0.0847,0.997
DIR + GFC + EOP,0.8653,0.2968,0.1204,0.0275,0.0381,0.8788,0.776,0.746,0.8686,0.3846,0.5401,0.2468,0.1045,260.0,7655.0,301.0,931.0,252.0,7478.0,296.0,873.0,8.0,177.0,5.0,58.0,0.3013,0.2025,0.0616,0.0524,0.9644
DIR + GFC + CEOP,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1191.0,7956.0,0.0,0.0,1125.0,7774.0,0.0,0.0,66.0,182.0,0.0,0.0,1.0,1.0,0.1264,0.2661,0.8932
DIR + GFC + ROC,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1191.0,7956.0,0.0,0.0,1125.0,7774.0,0.0,0.0,66.0,182.0,0.0,0.0,1.0,1.0,0.1264,0.2661,0.8932
DIR + PR,0.8824,0.3146,0.1149,0.0275,0.0163,0.803,0.792,0.7661,0.8856,0.2778,0.3518,0.2304,0.1044,247.0,7824.0,132.0,944.0,234.0,7647.0,127.0,891.0,13.0,177.0,5.0,53.0,0.3149,0.3095,0.0406,0.0726,0.9977
DIR + PR + EOP,0.8685,0.2977,0.1196,0.0275,0.0337,0.8636,0.7813,0.75,0.8718,0.3571,0.5157,0.2436,0.1048,255.0,7689.0,267.0,936.0,246.0,7512.0,262.0,879.0,9.0,177.0,5.0,57.0,0.3013,0.225,0.0571,0.0565,0.9718
DIR + PR + CEOP,0.8739,0.1151,0.1319,0.0275,0.0041,0.803,0.9449,0.7661,0.877,0.2778,0.3404,0.2304,0.1207,75.0,7919.0,37.0,1116.0,62.0,7742.0,32.0,1063.0,13.0,177.0,5.0,53.0,0.1017,0.3095,0.0106,0.0726,0.9854
DIR + PR + ROC,0.8784,0.3136,0.1159,0.044,0.0215,0.7727,0.7876,0.7621,0.8817,0.3478,0.4113,0.2267,0.1043,254.0,7781.0,175.0,937.0,239.0,7607.0,167.0,886.0,15.0,174.0,8.0,51.0,0.3122,0.3371,0.0456,0.0927,1.0
