,Accuracy,F1 Score,Theil Index,False Positive Rate - Unprivileged,False Positive Rate - Privileged,False Negative Rate - Unprivileged,False Negative Rate - Privileged,Accuracy - Unprivileged,Accuracy - Privileged,False Discovery Rate - Unprivileged,False Discovery Rate - Privileged,False Omission Rate - Unprivileged,False Omission Rate - Privileged,Num True Pos,Num True Neg,Num False Pos,Num False Neg,Num True Pos - Privileged,Num True Neg - Privileged,Num False Pos - Privileged,Num False Neg - Privileged,Num True Pos - Unprivileged,Num True Neg - Unprivileged,Num False Pos - Unprivileged,Num False Neg - Unprivileged,F1 Score - Privileged,F1 Score - Unprivileged,Privileged base Rate,Unprivileged base Rate,Consistency
Logistic Regression,0.6953,0.7377,0.1766,0.347,0.5783,0.2596,0.1491,0.6972,0.6914,0.3135,0.2866,0.2898,0.3742,793.0,494.0,344.0,220.0,331.0,97.0,133.0,58.0,462.0,397.0,211.0,162.0,0.7761,0.7124,0.7496,0.5463,0.8903
EOP,0.6532,0.7209,0.1607,0.5345,0.5783,0.2019,0.1491,0.6339,0.6914,0.3949,0.2866,0.3081,0.3742,829.0,380.0,458.0,184.0,331.0,97.0,133.0,58.0,498.0,283.0,325.0,126.0,0.7761,0.6883,0.7496,0.668,0.8176
CEOP,0.6948,0.7373,0.1767,0.347,0.5826,0.2596,0.1491,0.6972,0.6898,0.3135,0.2882,0.2898,0.3766,793.0,493.0,345.0,220.0,331.0,96.0,134.0,58.0,462.0,397.0,211.0,162.0,0.7752,0.7124,0.7512,0.5463,0.89
ROC,0.6834,0.713,0.2149,0.3257,0.4478,0.2837,0.2776,0.6956,0.6591,0.307,0.2682,0.3015,0.4596,728.0,537.0,301.0,285.0,281.0,127.0,103.0,108.0,447.0,410.0,198.0,177.0,0.727,0.7045,0.6204,0.5235,0.8767
GFC,0.665,0.7451,0.1168,0.5641,0.7391,0.1298,0.0668,0.6558,0.6834,0.3871,0.3189,0.2341,0.3023,906.0,325.0,513.0,107.0,363.0,60.0,170.0,26.0,543.0,265.0,343.0,81.0,0.7874,0.7192,0.8611,0.7192,0.8916
GFC + EOP,0.6364,0.7343,0.1048,0.6908,0.7391,0.0881,0.072,0.6144,0.6801,0.4247,0.3202,0.2263,0.3182,930.0,248.0,590.0,83.0,361.0,60.0,170.0,28.0,569.0,188.0,420.0,55.0,0.7848,0.7055,0.8578,0.8028,0.866
GFC + CEOP,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1013.0,838.0,0.0,0.0,389.0,230.0,0.0,0.0,624.0,608.0,0.0,0.0,1.0,1.0,0.6284,0.5065,0.6797
GFC + ROC,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1013.0,838.0,0.0,0.0,389.0,230.0,0.0,0.0,624.0,608.0,0.0,0.0,1.0,1.0,0.6284,0.5065,0.6797
PR,0.3079,0.2557,0.6176,0.6628,0.3696,0.7212,0.8817,0.3076,0.3086,0.6984,0.6489,0.687,0.7029,220.0,350.0,488.0,793.0,46.0,145.0,85.0,343.0,174.0,205.0,403.0,450.0,0.1769,0.2898,0.2116,0.4683,0.8859
PR + EOP,0.6575,0.7214,0.165,0.5049,0.587,0.2051,0.1645,0.6469,0.6785,0.3823,0.2935,0.2984,0.4025,821.0,396.0,442.0,192.0,325.0,95.0,135.0,64.0,496.0,301.0,307.0,128.0,0.7656,0.6952,0.7431,0.6518,0.804
