,Accuracy,F1 Score,Theil Index,False Positive Rate - Unprivileged,False Positive Rate - Privileged,False Negative Rate - Unprivileged,False Negative Rate - Privileged,Accuracy - Unprivileged,Accuracy - Privileged,False Discovery Rate - Unprivileged,False Discovery Rate - Privileged,False Omission Rate - Unprivileged,False Omission Rate - Privileged,Num True Pos,Num True Neg,Num False Pos,Num False Neg,Num True Pos - Privileged,Num True Neg - Privileged,Num False Pos - Privileged,Num False Neg - Privileged,Num True Pos - Unprivileged,Num True Neg - Unprivileged,Num False Pos - Unprivileged,Num False Neg - Unprivileged,F1 Score - Privileged,F1 Score - Unprivileged,Privileged base Rate,Unprivileged base Rate,Consistency
Logistic Regression,0.7333,0.4286,0.2497,0.3448,0.0552,0.5385,0.6883,0.5952,0.7558,0.625,0.2941,0.2692,0.2366,30.0,190.0,20.0,60.0,24.0,171.0,10.0,53.0,6.0,19.0,10.0,7.0,0.4324,0.4138,0.1318,0.381,0.7927
EOP,0.6867,0.4337,0.2417,0.3103,0.1713,0.6923,0.5844,0.5714,0.7054,0.6923,0.4921,0.3103,0.2308,36.0,170.0,40.0,54.0,32.0,150.0,31.0,45.0,4.0,20.0,9.0,9.0,0.4571,0.3077,0.2442,0.3095,0.684
CEOP,0.69,0.1308,0.3399,0.3448,0.0,0.5385,0.987,0.5952,0.7054,0.625,0.0,0.2692,0.2957,7.0,200.0,10.0,83.0,1.0,181.0,0.0,76.0,6.0,19.0,10.0,7.0,0.0256,0.4138,0.0039,0.381,0.916
ROC,0.72,0.125,0.3285,0.0,0.0,0.8462,0.9481,0.7381,0.7171,0.0,0.0,0.275,0.2874,6.0,210.0,0.0,84.0,4.0,181.0,0.0,73.0,2.0,29.0,0.0,11.0,0.0988,0.2667,0.0155,0.0476,0.97
GFC,0.3,0.4615,0.0402,1.0,1.0,0.0,0.0,0.3095,0.2984,0.6905,0.7016,0.0,0.0,90.0,0.0,210.0,0.0,77.0,0.0,181.0,0.0,13.0,0.0,29.0,0.0,0.4597,0.4727,1.0,1.0,1.0
GFC + EOP,0.52,0.405,0.2066,0.4828,0.4917,0.3846,0.4675,0.5476,0.5155,0.6364,0.6846,0.25,0.2812,49.0,107.0,103.0,41.0,41.0,92.0,89.0,36.0,8.0,15.0,14.0,5.0,0.3961,0.4571,0.5039,0.5238,0.5913
GFC + CEOP,0.0,0.0,0.3567,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,210.0,90.0,0.0,0.0,181.0,77.0,0.0,0.0,29.0,13.0,0.0,0.0,0.7016,0.6905,0.6947
GFC + ROC,0.0,0.0,0.3567,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,210.0,90.0,0.0,0.0,181.0,77.0,0.0,0.0,29.0,13.0,0.0,0.0,0.7016,0.6905,0.6947
PR,0.7333,0.4444,0.2434,0.4138,0.0552,0.6154,0.6494,0.5238,0.7674,0.7059,0.2703,0.32,0.2262,32.0,188.0,22.0,58.0,27.0,171.0,10.0,50.0,5.0,17.0,12.0,8.0,0.4737,0.3333,0.1434,0.4048,0.7733
PR + EOP,0.7133,0.4189,0.2525,0.2759,0.105,0.7692,0.6364,0.5714,0.7364,0.7273,0.4043,0.3226,0.2322,31.0,183.0,27.0,59.0,28.0,162.0,19.0,49.0,3.0,21.0,8.0,10.0,0.4516,0.25,0.1822,0.2619,0.738
