,Accuracy,F1 Score,Theil Index,False Positive Rate - Unprivileged,False Positive Rate - Privileged,False Negative Rate - Unprivileged,False Negative Rate - Privileged,Accuracy - Unprivileged,Accuracy - Privileged,False Discovery Rate - Unprivileged,False Discovery Rate - Privileged,False Omission Rate - Unprivileged,False Omission Rate - Privileged,Num True Pos,Num True Neg,Num False Pos,Num False Neg,Num True Pos - Privileged,Num True Neg - Privileged,Num False Pos - Privileged,Num False Neg - Privileged,Num True Pos - Unprivileged,Num True Neg - Unprivileged,Num False Pos - Unprivileged,Num False Neg - Unprivileged,F1 Score - Privileged,F1 Score - Unprivileged,Privileged base Rate,Unprivileged base Rate,Consistency
PR - 3,0.8412,0.6396,0.1302,0.0286,0.1007,0.509,0.4094,0.9178,0.8035,0.3175,0.2747,0.0617,0.1701,1911.0,9502.0,745.0,1409.0,1666.0,5636.0,631.0,1155.0,245.0,3866.0,114.0,254.0,0.651,0.5711,0.2528,0.0802,0.924
PR - 5,0.8392,0.6397,0.1312,0.0231,0.1085,0.5322,0.402,0.9189,0.7996,0.2771,0.2849,0.0655,0.1704,1937.0,9448.0,768.0,1414.0,1697.0,5555.0,676.0,1141.0,240.0,3893.0,92.0,273.0,0.6513,0.568,0.2617,0.0738,0.9216
PR - 11,0.8406,0.6463,0.1305,0.0186,0.1086,0.5244,0.3973,0.923,0.8005,0.2303,0.2817,0.0652,0.1699,1975.0,9430.0,752.0,1410.0,1731.0,5573.0,679.0,1141.0,244.0,3857.0,73.0,269.0,0.6554,0.588,0.2641,0.0713,0.9277
PR - 17,0.8295,0.6179,0.1398,0.0268,0.1109,0.4863,0.4389,0.9192,0.7871,0.2814,0.3046,0.0624,0.1822,1870.0,9384.0,807.0,1506.0,1607.0,5642.0,704.0,1257.0,263.0,3742.0,103.0,249.0,0.6211,0.5991,0.2509,0.084,0.9295
PR - 29,0.8256,0.6174,0.1395,0.032,0.1207,0.5114,0.4232,0.9107,0.7848,0.3255,0.3154,0.0669,0.1794,1909.0,9292.0,885.0,1481.0,1652.0,5542.0,761.0,1212.0,257.0,3750.0,124.0,269.0,0.6261,0.5667,0.2632,0.0866,0.9339
PR + CEOP - 3,0.8316,0.5932,0.1481,0.0,0.1007,1.0,0.4094,0.8886,0.8035,0.0,0.2747,0.1114,0.1701,1666.0,9616.0,631.0,1654.0,1666.0,5636.0,631.0,1155.0,0.0,3980.0,0.0,499.0,0.651,0.0,0.2528,0.0,0.9212
PR + CEOP - 5,0.8283,0.5929,0.1493,0.0,0.1085,1.0,0.402,0.8859,0.7996,0.0,0.2849,0.1141,0.1704,1697.0,9540.0,676.0,1654.0,1697.0,5555.0,676.0,1141.0,0.0,3985.0,0.0,513.0,0.6513,0.0,0.2617,0.0,0.9189
PR + CEOP - 11,0.828,0.5974,0.1493,0.0,0.1086,1.0,0.3973,0.8845,0.8005,0.0,0.2817,0.1155,0.1699,1731.0,9503.0,679.0,1654.0,1731.0,5573.0,679.0,1141.0,0.0,3930.0,0.0,513.0,0.6554,0.0,0.2641,0.0,0.9211
PR + CEOP - 17,0.8177,0.5651,0.1598,0.0,0.1109,1.0,0.4389,0.8825,0.7871,0.0,0.3046,0.1175,0.1822,1607.0,9487.0,704.0,1769.0,1607.0,5642.0,704.0,1257.0,0.0,3845.0,0.0,512.0,0.6211,0.0,0.2509,0.0,0.9263
PR + CEOP - 29,0.8158,0.5694,0.1585,0.0,0.1207,1.0,0.4232,0.8805,0.7848,0.0,0.3154,0.1195,0.1794,1652.0,9416.0,761.0,1738.0,1652.0,5542.0,761.0,1212.0,0.0,3874.0,0.0,526.0,0.6261,0.0,0.2632,0.0,0.9294
