,Accuracy,F1 Score,Theil Index,False Positive Rate - Unprivileged,False Positive Rate - Privileged,False Negative Rate - Unprivileged,False Negative Rate - Privileged,Accuracy - Unprivileged,Accuracy - Privileged,False Discovery Rate - Unprivileged,False Discovery Rate - Privileged,False Omission Rate - Unprivileged,False Omission Rate - Privileged,Num True Pos,Num True Neg,Num False Pos,Num False Neg,Num True Pos - Privileged,Num True Neg - Privileged,Num False Pos - Privileged,Num False Neg - Privileged,Num True Pos - Unprivileged,Num True Neg - Unprivileged,Num False Pos - Unprivileged,Num False Neg - Unprivileged,F1 Score - Privileged,F1 Score - Unprivileged,Privileged base Rate,Unprivileged base Rate,Consistency
Logistic Regression - 3,0.8973,0.5122,0.0885,0.095,0.0305,0.5172,0.5841,0.8101,0.8999,0.4043,0.3376,0.1422,0.0798,493.0,7715.0,256.0,683.0,465.0,7534.0,237.0,653.0,28.0,181.0,19.0,30.0,0.511,0.5333,0.079,0.1822,0.9506
Logistic Regression - 11,0.9023,0.5099,0.085,0.0806,0.0277,0.4909,0.592,0.8346,0.9043,0.3778,0.3308,0.1222,0.0771,465.0,7788.0,233.0,661.0,437.0,7594.0,216.0,634.0,28.0,194.0,17.0,27.0,0.507,0.56,0.0735,0.1692,0.953
Logistic Regression - 17,0.9018,0.5342,0.084,0.0419,0.0312,0.5625,0.5565,0.8275,0.904,0.2222,0.3329,0.1644,0.0749,515.0,7734.0,251.0,647.0,487.0,7551.0,243.0,611.0,28.0,183.0,8.0,36.0,0.5328,0.56,0.0821,0.1412,0.9498
EOP - 3,0.8793,0.4773,0.0938,0.08,0.0535,0.6034,0.5698,0.8023,0.8815,0.4103,0.4638,0.1598,0.0797,504.0,7539.0,432.0,672.0,481.0,7355.0,416.0,637.0,23.0,184.0,16.0,35.0,0.4774,0.4742,0.1009,0.1512,0.9203
EOP - 11,0.8825,0.4654,0.0916,0.0758,0.0513,0.6182,0.5826,0.812,0.8846,0.4324,0.4729,0.1485,0.0777,468.0,7604.0,417.0,658.0,447.0,7409.0,401.0,624.0,21.0,195.0,16.0,34.0,0.4659,0.4565,0.0955,0.1391,0.9218
EOP - 17,0.8813,0.492,0.0902,0.0419,0.0567,0.6406,0.5419,0.8078,0.8834,0.2581,0.4677,0.183,0.0749,526.0,7535.0,450.0,636.0,503.0,7352.0,442.0,595.0,23.0,183.0,8.0,41.0,0.4924,0.4842,0.1063,0.1216,0.9157
ROC - 3,0.8872,0.3485,0.1095,0.04,0.016,0.6379,0.7719,0.8256,0.889,0.2759,0.3272,0.1616,0.1014,276.0,7839.0,132.0,900.0,255.0,7647.0,124.0,863.0,21.0,192.0,8.0,37.0,0.3407,0.4828,0.0426,0.1124,0.9658
ROC - 11,0.891,0.3176,0.1075,0.0142,0.0128,0.7273,0.7974,0.8383,0.8926,0.1667,0.3155,0.1613,0.0997,232.0,7918.0,103.0,894.0,217.0,7710.0,100.0,854.0,15.0,208.0,3.0,40.0,0.3127,0.411,0.0357,0.0677,0.9702
ROC - 17,0.8902,0.3324,0.1092,0.0105,0.0115,0.7969,0.7842,0.7922,0.893,0.1333,0.2752,0.2125,0.1005,250.0,7893.0,92.0,912.0,237.0,7704.0,90.0,861.0,13.0,189.0,2.0,51.0,0.3326,0.3291,0.0368,0.0588,0.97
GFC - 3,0.8926,0.4401,0.0987,0.06,0.0232,0.569,0.6771,0.8256,0.8946,0.3243,0.3327,0.1493,0.0907,386.0,7779.0,192.0,790.0,361.0,7591.0,180.0,757.0,25.0,188.0,12.0,33.0,0.4352,0.5263,0.0609,0.1434,0.9718
GFC - 11,0.897,0.4419,0.0942,0.0521,0.0228,0.5818,0.6732,0.8383,0.8988,0.3235,0.3371,0.1379,0.0863,373.0,7832.0,189.0,753.0,350.0,7632.0,178.0,721.0,23.0,200.0,11.0,32.0,0.4378,0.5169,0.0595,0.1278,0.9721
GFC - 17,0.8965,0.4561,0.0953,0.0262,0.0227,0.6875,0.6566,0.8078,0.899,0.2,0.3195,0.1913,0.0865,397.0,7803.0,182.0,765.0,377.0,7617.0,177.0,721.0,20.0,186.0,5.0,44.0,0.4564,0.4494,0.0623,0.098,0.9721
GFC + EOP - 3,0.889,0.4364,0.0995,0.06,0.0283,0.6034,0.6691,0.8178,0.8911,0.3429,0.3729,0.157,0.0901,393.0,7739.0,232.0,783.0,370.0,7551.0,220.0,748.0,23.0,188.0,12.0,35.0,0.4333,0.4946,0.0664,0.1357,0.9642
GFC + EOP - 11,0.8862,0.4233,0.0974,0.0427,0.0369,0.6727,0.6601,0.8271,0.888,0.3333,0.4417,0.1548,0.0859,382.0,7724.0,297.0,744.0,364.0,7522.0,288.0,707.0,18.0,202.0,9.0,37.0,0.4225,0.439,0.0734,0.1015,0.9517
GFC + EOP - 17,0.8846,0.4341,0.0991,0.0209,0.0378,0.7188,0.6475,0.8039,0.8869,0.1818,0.4326,0.1974,0.0866,405.0,7686.0,299.0,757.0,387.0,7499.0,295.0,711.0,18.0,187.0,4.0,46.0,0.4348,0.4186,0.0767,0.0863,0.9503
GFC + ROC - 3,0.8928,0.4404,0.0987,0.06,0.023,0.569,0.6771,0.8256,0.8947,0.3243,0.3315,0.1493,0.0907,386.0,7780.0,191.0,790.0,361.0,7592.0,179.0,757.0,25.0,188.0,12.0,33.0,0.4355,0.5263,0.0607,0.1434,0.9723
GFC + ROC - 11,0.8971,0.4448,0.0938,0.0521,0.0232,0.5636,0.6704,0.8421,0.8988,0.3143,0.339,0.1342,0.086,377.0,7829.0,192.0,749.0,353.0,7629.0,181.0,718.0,24.0,200.0,11.0,31.0,0.4399,0.5333,0.0601,0.1316,0.9714
GFC + ROC - 17,0.8961,0.4528,0.0958,0.0262,0.0226,0.6875,0.6603,0.8078,0.8987,0.2,0.3206,0.1913,0.0869,393.0,7804.0,181.0,769.0,373.0,7618.0,176.0,725.0,20.0,186.0,5.0,44.0,0.4529,0.4494,0.0617,0.098,0.9725
PR - 3,0.8977,0.511,0.0887,0.08,0.03,0.5517,0.5859,0.814,0.9001,0.381,0.3348,0.1481,0.0799,489.0,7722.0,249.0,687.0,463.0,7538.0,233.0,655.0,26.0,184.0,16.0,32.0,0.5105,0.52,0.0783,0.1628,0.9508
PR - 11,0.9038,0.5181,0.0838,0.0521,0.0277,0.4727,0.5854,0.8609,0.9051,0.275,0.3273,0.115,0.0763,473.0,7794.0,227.0,653.0,444.0,7594.0,216.0,627.0,29.0,200.0,11.0,26.0,0.513,0.6105,0.0743,0.1504,0.953
PR - 17,0.9005,0.5241,0.0856,0.0209,0.0314,0.7031,0.561,0.8078,0.9032,0.1739,0.337,0.194,0.0754,501.0,7736.0,249.0,661.0,482.0,7549.0,245.0,616.0,19.0,187.0,4.0,45.0,0.5282,0.4368,0.0818,0.0902,0.951
PR + EOP - 3,0.8977,0.5099,0.0889,0.055,0.0304,0.5862,0.5859,0.8256,0.8998,0.3143,0.3376,0.1525,0.08,487.0,7724.0,247.0,689.0,463.0,7535.0,236.0,655.0,24.0,189.0,11.0,34.0,0.5096,0.5161,0.0786,0.1357,0.9507
PR + EOP - 11,0.8929,0.4943,0.0872,0.0427,0.0415,0.5091,0.578,0.8609,0.8938,0.25,0.4175,0.1217,0.0764,479.0,7688.0,333.0,647.0,452.0,7486.0,324.0,619.0,27.0,202.0,9.0,28.0,0.4894,0.5934,0.0874,0.1353,0.9335
PR + EOP - 17,0.8893,0.4988,0.0893,0.0157,0.0452,0.7344,0.5565,0.8039,0.8917,0.15,0.4195,0.2,0.0759,504.0,7630.0,355.0,658.0,487.0,7442.0,352.0,611.0,17.0,188.0,3.0,47.0,0.5028,0.4048,0.0944,0.0784,0.932
PR + ROC - 3,0.8891,0.3935,0.1046,0.06,0.0199,0.6207,0.7254,0.814,0.8913,0.3529,0.3355,0.1607,0.0962,329.0,7804.0,167.0,847.0,307.0,7616.0,155.0,811.0,22.0,188.0,12.0,36.0,0.3886,0.4783,0.052,0.1318,0.9603
PR + ROC - 11,0.8917,0.3281,0.1065,0.019,0.0132,0.6727,0.7908,0.8459,0.893,0.1818,0.315,0.1516,0.099,242.0,7914.0,107.0,884.0,224.0,7707.0,103.0,847.0,18.0,207.0,4.0,37.0,0.3205,0.4675,0.0368,0.0827,0.9699
PR + ROC - 17,0.8938,0.3897,0.1031,0.0105,0.015,0.8125,0.7286,0.7882,0.8969,0.1429,0.2819,0.2158,0.0944,310.0,7866.0,119.0,852.0,298.0,7677.0,117.0,800.0,12.0,189.0,2.0,52.0,0.3939,0.3077,0.0467,0.0549,0.9653
