,Accuracy,F1 Score,Theil Index,False Positive Rate - Unprivileged,False Positive Rate - Privileged,False Negative Rate - Unprivileged,False Negative Rate - Privileged,Accuracy - Unprivileged,Accuracy - Privileged,False Discovery Rate - Unprivileged,False Discovery Rate - Privileged,False Omission Rate - Unprivileged,False Omission Rate - Privileged,Num True Pos,Num True Neg,Num False Pos,Num False Neg,Num True Pos - Privileged,Num True Neg - Privileged,Num False Pos - Privileged,Num False Neg - Privileged,Num True Pos - Unprivileged,Num True Neg - Unprivileged,Num False Pos - Unprivileged,Num False Neg - Unprivileged,F1 Score - Privileged,F1 Score - Unprivileged,Privileged base Rate,Unprivileged base Rate,Consistency
OP - 3,0.6635,0.6921,0.2057,0.3468,0.5292,0.3265,0.2145,0.6625,0.6651,0.3789,0.2947,0.2967,0.4235,599.0,452.0,307.0,226.0,304.0,113.0,127.0,83.0,295.0,339.0,180.0,143.0,0.7433,0.6462,0.6874,0.4963,0.9753
OP - 11,0.6679,0.6945,0.2322,0.3423,0.4,0.3004,0.317,0.6785,0.6517,0.3327,0.2618,0.3095,0.4659,598.0,460.0,260.0,266.0,265.0,141.0,94.0,123.0,333.0,319.0,166.0,143.0,0.7095,0.6831,0.5762,0.5193,0.9785
OP - 17,0.666,0.6944,0.2054,0.3439,0.5139,0.2993,0.242,0.6771,0.6491,0.3551,0.3116,0.2891,0.4272,601.0,454.0,303.0,226.0,285.0,122.0,129.0,91.0,316.0,332.0,174.0,135.0,0.7215,0.6716,0.6603,0.512,0.975
OP + EOP - 3,0.6294,0.6812,0.19,0.5067,0.525,0.2397,0.2403,0.6155,0.6507,0.4413,0.3,0.2909,0.4493,627.0,370.0,389.0,198.0,294.0,114.0,126.0,93.0,333.0,256.0,263.0,105.0,0.7286,0.6441,0.6699,0.6228,0.8644
OP + EOP - 11,0.6509,0.686,0.2306,0.4103,0.4,0.2878,0.317,0.6504,0.6517,0.3699,0.2618,0.3239,0.4659,604.0,427.0,293.0,260.0,265.0,141.0,94.0,123.0,339.0,286.0,199.0,137.0,0.7095,0.6686,0.5762,0.5598,0.8645
OP + EOP - 17,0.6509,0.6902,0.197,0.4328,0.49,0.2483,0.2633,0.6541,0.6459,0.3925,0.3075,0.2807,0.4361,616.0,415.0,342.0,211.0,277.0,128.0,123.0,99.0,339.0,287.0,219.0,112.0,0.7139,0.672,0.638,0.5831,0.9034
OP + CEOP - 3,0.6641,0.6963,0.1982,0.3468,0.5708,0.3265,0.186,0.6625,0.6667,0.3789,0.3031,0.2967,0.4114,610.0,442.0,317.0,215.0,315.0,103.0,137.0,72.0,295.0,339.0,180.0,143.0,0.7509,0.6462,0.7209,0.4963,0.9503
OP + CEOP - 11,0.6673,0.7001,0.2208,0.3423,0.4766,0.3004,0.2732,0.6785,0.6501,0.3327,0.2843,0.3095,0.4629,615.0,442.0,278.0,249.0,282.0,123.0,112.0,106.0,333.0,319.0,166.0,143.0,0.7212,0.6831,0.6324,0.5193,0.9489
OP + CEOP - 17,0.6591,0.6959,0.1948,0.3439,0.6255,0.2993,0.1968,0.6771,0.6316,0.3551,0.342,0.2891,0.4405,618.0,426.0,331.0,209.0,302.0,94.0,157.0,74.0,316.0,332.0,174.0,135.0,0.7234,0.6716,0.7321,0.512,0.9395
OP + ROC - 3,0.654,0.6719,0.2329,0.3661,0.3917,0.3059,0.3359,0.6614,0.6427,0.3846,0.2678,0.2894,0.471,561.0,475.0,284.0,264.0,257.0,146.0,94.0,130.0,304.0,329.0,190.0,134.0,0.6965,0.6524,0.5598,0.5162,0.9629
OP + ROC - 11,0.6679,0.697,0.2275,0.3732,0.366,0.271,0.3351,0.6774,0.6533,0.3428,0.25,0.2979,0.4659,605.0,453.0,267.0,259.0,258.0,149.0,86.0,130.0,347.0,304.0,181.0,129.0,0.7049,0.6912,0.5522,0.5494,0.9782
OP + ROC - 17,0.6616,0.6732,0.2393,0.33,0.3745,0.3171,0.3511,0.6761,0.6396,0.3516,0.2781,0.2967,0.4567,552.0,496.0,261.0,275.0,244.0,157.0,94.0,132.0,308.0,339.0,167.0,143.0,0.6835,0.6652,0.5391,0.4963,0.9699
OP + GFC - 3,0.4792,0.0,0.7357,0.0,0.0,1.0,1.0,0.5423,0.3828,0.0,0.0,0.4577,0.6172,0.0,759.0,0.0,825.0,0.0,240.0,0.0,387.0,0.0,519.0,0.0,438.0,0.0,0.0,0.0,0.0,1.0
OP + GFC - 11,0.6446,0.7279,0.1305,0.6,0.6851,0.1534,0.0979,0.6212,0.6806,0.4193,0.3151,0.2734,0.3393,753.0,268.0,452.0,111.0,350.0,74.0,161.0,38.0,403.0,194.0,291.0,73.0,0.7786,0.6889,0.8202,0.7222,0.9782
OP + GFC - 17,0.4779,0.0,0.7383,0.0,0.0,1.0,1.0,0.5287,0.4003,0.0,0.0,0.4713,0.5997,0.0,757.0,0.0,827.0,0.0,251.0,0.0,376.0,0.0,506.0,0.0,451.0,0.0,0.0,0.0,0.0,1.0
OP + GFC + EOP - 3,0.5088,0.5186,0.3544,0.5048,0.4583,0.5068,0.4755,0.4943,0.5311,0.5481,0.3514,0.4635,0.586,419.0,387.0,372.0,406.0,203.0,130.0,110.0,184.0,216.0,257.0,262.0,222.0,0.58,0.4716,0.4992,0.4995,0.5237
OP + GFC + EOP - 11,0.6395,0.7248,0.1314,0.6289,0.6553,0.1303,0.1289,0.6181,0.6726,0.4242,0.313,0.2562,0.3817,752.0,261.0,459.0,112.0,338.0,81.0,154.0,50.0,414.0,180.0,305.0,62.0,0.7682,0.6929,0.7897,0.7482,0.9408
OP + GFC + EOP - 17,0.4785,0.4895,0.3767,0.5356,0.494,0.541,0.4973,0.4619,0.504,0.5669,0.3962,0.5094,0.5955,396.0,362.0,395.0,431.0,189.0,127.0,124.0,187.0,207.0,235.0,271.0,244.0,0.5486,0.4456,0.4992,0.4995,0.5249
