,Accuracy,F1 Score,Theil Index,False Positive Rate - Unprivileged,False Positive Rate - Privileged,False Negative Rate - Unprivileged,False Negative Rate - Privileged,Accuracy - Unprivileged,Accuracy - Privileged,False Discovery Rate - Unprivileged,False Discovery Rate - Privileged,False Omission Rate - Unprivileged,False Omission Rate - Privileged,Num True Pos,Num True Neg,Num False Pos,Num False Neg,Num True Pos - Privileged,Num True Neg - Privileged,Num False Pos - Privileged,Num False Neg - Privileged,Num True Pos - Unprivileged,Num True Neg - Unprivileged,Num False Pos - Unprivileged,Num False Neg - Unprivileged,F1 Score - Privileged,F1 Score - Unprivileged,Privileged base Rate,Unprivileged base Rate,Consistency
DIR - 7,0.7367,0.5212,0.2102,0.2895,0.117,0.45,0.5493,0.6552,0.7562,0.5,0.3846,0.25,0.2053,43.0,178.0,31.0,48.0,32.0,151.0,20.0,39.0,11.0,27.0,11.0,9.0,0.5203,0.5238,0.2149,0.3793,0.7127
DIR + EOP - 7,0.6667,0.4681,0.2203,0.2895,0.2456,0.5,0.5211,0.6379,0.6736,0.5238,0.5526,0.2703,0.2229,44.0,156.0,53.0,47.0,34.0,129.0,42.0,37.0,10.0,27.0,11.0,10.0,0.4626,0.4878,0.314,0.3621,0.664
DIR + CEOP - 7,0.6933,0.2203,0.3222,0.2895,0.0175,0.45,0.9718,0.6552,0.7025,0.5,0.6,0.25,0.2911,13.0,195.0,14.0,78.0,2.0,168.0,3.0,69.0,11.0,27.0,11.0,9.0,0.0526,0.5238,0.0207,0.3793,0.8767
DIR + GFC - 7,0.3733,0.4919,0.0475,1.0,0.8772,0.0,0.0,0.3448,0.3802,0.6552,0.6787,0.0,0.0,91.0,21.0,188.0,0.0,71.0,21.0,150.0,0.0,20.0,0.0,38.0,0.0,0.4863,0.5128,0.9132,1.0,0.9013
DIR + GFC + EOP - 7,0.49,0.3651,0.2298,0.5526,0.4971,0.6,0.493,0.431,0.5041,0.7241,0.7025,0.4138,0.2893,44.0,103.0,106.0,47.0,36.0,86.0,85.0,35.0,8.0,17.0,21.0,12.0,0.375,0.3265,0.5,0.5,0.6
DIR + GFC + CEOP - 7,0.3733,0.4919,0.0475,1.0,0.8772,0.0,0.0,0.3448,0.3802,0.6552,0.6787,0.0,0.0,91.0,21.0,188.0,0.0,71.0,21.0,150.0,0.0,20.0,0.0,38.0,0.0,0.4863,0.5128,0.9132,1.0,0.9013
DIR + PR - 7,0.7067,0.4699,0.2305,0.3947,0.1228,0.65,0.5493,0.5172,0.7521,0.6818,0.3962,0.3611,0.2063,39.0,173.0,36.0,52.0,32.0,150.0,21.0,39.0,7.0,23.0,15.0,13.0,0.5161,0.3333,0.219,0.3793,0.7087
DIR + PR + EOP - 7,0.7067,0.4568,0.2373,0.2895,0.1345,0.8,0.5352,0.5345,0.7479,0.7333,0.4107,0.3721,0.2043,37.0,175.0,34.0,54.0,33.0,148.0,23.0,38.0,4.0,27.0,11.0,16.0,0.5197,0.2286,0.2314,0.2586,0.716
DIR + PR + CEOP - 7,0.6967,0.3546,0.2808,0.3947,0.0585,0.65,0.7465,0.5172,0.7397,0.6818,0.3571,0.3611,0.2477,25.0,184.0,25.0,66.0,18.0,161.0,10.0,53.0,7.0,23.0,15.0,13.0,0.3636,0.3333,0.1157,0.3793,0.7787
DIR + EGR - 7,0.7333,0.5294,0.2045,0.2105,0.152,0.5,0.507,0.6897,0.7438,0.4444,0.4262,0.25,0.1989,45.0,175.0,34.0,46.0,35.0,145.0,26.0,36.0,10.0,30.0,8.0,10.0,0.5303,0.5263,0.2521,0.3103,0.7133
