,Accuracy,F1 Score,Theil Index,False Positive Rate - Unprivileged,False Positive Rate - Privileged,False Negative Rate - Unprivileged,False Negative Rate - Privileged,Accuracy - Unprivileged,Accuracy - Privileged,False Discovery Rate - Unprivileged,False Discovery Rate - Privileged,False Omission Rate - Unprivileged,False Omission Rate - Privileged,Num True Pos,Num True Neg,Num False Pos,Num False Neg,Num True Pos - Privileged,Num True Neg - Privileged,Num False Pos - Privileged,Num False Neg - Privileged,Num True Pos - Unprivileged,Num True Neg - Unprivileged,Num False Pos - Unprivileged,Num False Neg - Unprivileged,F1 Score - Privileged,F1 Score - Unprivileged,Privileged base Rate,Unprivileged base Rate,Consistency
OP,0.7903333333333333,0.48456666666666665,0.17783333333333332,0.06703333333333333,0.10493333333333334,0.7239333333333334,0.5647666666666668,0.8621666666666666,0.7544,0.6673,0.3538666666666666,0.08573333333333333,0.21743333333333337,1444.3333333333333,10136.333333333334,1004.0,2068.3333333333335,1298.6666666666667,6069.333333333333,711.6666666666666,1687.0,145.66666666666666,4067.0,292.3333333333333,381.3333333333333,0.5199,0.30163333333333336,0.20583333333333334,0.08963333333333334,0.9787666666666667
OP + EOP,0.7745333333333334,0.36990000000000006,0.21163333333333334,0.07023333333333333,0.06693333333333333,0.7225999999999999,0.7242000000000001,0.8593999999999999,0.7321333333333334,0.6756666666666667,0.35536666666666666,0.08586666666666666,0.25466666666666665,969.6666666666666,10380.0,760.3333333333334,2543.0,823.3333333333334,6327.0,454.0,2162.3333333333335,146.33333333333334,4053.0,306.3333333333333,380.6666666666667,0.3862666666666667,0.2986666666666667,0.1308,0.09263333333333335,0.9194
OP + CEOP,0.7903333333333333,0.48456666666666665,0.17783333333333332,0.06703333333333333,0.10493333333333334,0.7239333333333334,0.5647666666666668,0.8621666666666666,0.7544,0.6673,0.3538666666666666,0.08573333333333333,0.21743333333333337,1444.3333333333333,10136.333333333334,1004.0,2068.3333333333335,1298.6666666666667,6069.333333333333,711.6666666666666,1687.0,145.66666666666666,4067.0,292.3333333333333,381.3333333333333,0.5199,0.30163333333333336,0.20583333333333334,0.08963333333333334,0.9787666666666667
OP + ROC,0.6848666666666666,0.5309,0.11906666666666665,0.36766666666666664,0.3112,0.24043333333333336,0.2587,0.6459,0.7044333333333332,0.7995333333333333,0.4871666666666667,0.0438,0.1415,2610.6666666666665,7425.0,3715.3333333333335,902.0,2210.6666666666665,4669.333333333333,2111.6666666666665,775.0,400.0,2755.6666666666665,1603.6666666666667,127.0,0.6050666666666666,0.31666666666666665,0.4426333333333334,0.4099333333333333,0.9545333333333333
OP + GFC,0.7869,0.4073333333333333,0.20113333333333336,0.06366666666666666,0.05976666666666667,0.7289,0.6884,0.8645999999999999,0.7480333333333333,0.6593,0.3035666666666667,0.08596666666666668,0.2437666666666667,1073.0,10457.333333333334,683.0,2439.6666666666665,930.0,6375.666666666667,405.3333333333333,2055.6666666666665,143.0,4081.6666666666665,277.6666666666667,384.0,0.43050000000000005,0.30156666666666665,0.13673333333333335,0.08606666666666667,0.9882
OP + GFC + EOP,0.7797333333333333,0.3741666666666667,0.21010000000000004,0.06366666666666666,0.0592,0.7289,0.7246,0.8645999999999999,0.7373333333333334,0.6593,0.328,0.08596666666666668,0.25323333333333337,964.6666666666666,10461.0,679.3333333333334,2548.0,821.6666666666666,6379.333333333333,401.6666666666667,2164.0,143.0,4081.6666666666665,277.6666666666667,384.0,0.3904666666666666,0.30156666666666665,0.12523333333333334,0.08606666666666667,0.9519666666666667
OP + GFC + CEOP,0.7961,0.38366666666666666,0.20593333333333333,0.0,0.05976666666666667,1.0,0.6884,0.8921666666666667,0.7480333333333333,0.0,0.3035666666666667,0.10783333333333334,0.2437666666666667,930.0,10735.0,405.3333333333333,2582.6666666666665,930.0,6375.666666666667,405.3333333333333,2055.6666666666665,0.0,4359.333333333333,0.0,527.0,0.43050000000000005,0.0,0.13673333333333335,0.0,0.9916999999999999
OP + GFC + ROC,0.7869,0.4073333333333333,0.20113333333333336,0.06366666666666666,0.05976666666666667,0.7289,0.6884,0.8645999999999999,0.7480333333333333,0.6593,0.3035666666666667,0.08596666666666668,0.2437666666666667,1073.0,10457.333333333334,683.0,2439.6666666666665,930.0,6375.666666666667,405.3333333333333,2055.6666666666665,143.0,4081.6666666666665,277.6666666666667,384.0,0.43050000000000005,0.30156666666666665,0.13673333333333335,0.08606666666666667,0.9882
OP + PR,0.7824,0.4638666666666667,0.18416666666666667,0.08789999999999999,0.09899999999999999,0.6788000000000002,0.5947666666666667,0.8484333333333333,0.7494333333333333,0.6934999999999999,0.3569333333333334,0.0825,0.22519999999999998,1379.3333333333333,10085.666666666666,1054.6666666666667,2133.3333333333335,1209.6666666666667,6109.666666666667,671.3333333333334,1776.0,169.66666666666666,3976.0,383.3333333333333,357.3333333333333,0.49713333333333337,0.3133333333333333,0.1926,0.11313333333333332,0.9653666666666666
OP + PR + EOP,0.7693666666666666,0.39753333333333335,0.2044,0.08789999999999999,0.08826666666666667,0.6788000000000002,0.6829000000000001,0.8484333333333333,0.7298666666666667,0.6934999999999999,0.3872,0.0825,0.248,1115.6666666666667,10158.333333333334,982.0,2397.0,946.0,6182.333333333333,598.6666666666666,2039.6666666666667,169.66666666666666,3976.0,383.3333333333333,357.3333333333333,0.41759999999999997,0.3133333333333333,0.15816666666666668,0.11313333333333332,0.9091333333333332
OP + PR + CEOP,0.7824,0.4638666666666667,0.18416666666666667,0.08789999999999999,0.09899999999999999,0.6788000000000002,0.5947666666666667,0.8484333333333333,0.7494333333333333,0.6934999999999999,0.3569333333333334,0.0825,0.22519999999999998,1379.3333333333333,10085.666666666666,1054.6666666666667,2133.3333333333335,1209.6666666666667,6109.666666666667,671.3333333333334,1776.0,169.66666666666666,3976.0,383.3333333333333,357.3333333333333,0.49713333333333337,0.3133333333333333,0.1926,0.11313333333333332,0.9653666666666666
