,Accuracy,F1 Score,Theil Index,False Positive Rate - Unprivileged,False Positive Rate - Privileged,False Negative Rate - Unprivileged,False Negative Rate - Privileged,Accuracy - Unprivileged,Accuracy - Privileged,False Discovery Rate - Unprivileged,False Discovery Rate - Privileged,False Omission Rate - Unprivileged,False Omission Rate - Privileged,Num True Pos,Num True Neg,Num False Pos,Num False Neg,Num True Pos - Privileged,Num True Neg - Privileged,Num False Pos - Privileged,Num False Neg - Privileged,Num True Pos - Unprivileged,Num True Neg - Unprivileged,Num False Pos - Unprivileged,Num False Neg - Unprivileged,F1 Score - Privileged,F1 Score - Unprivileged,Privileged base Rate,Unprivileged base Rate,Consistency
OP,0.7878,0.4844,0.184,0.0628,0.1015,0.7212,0.5744,0.8643,0.7498,0.6437,0.3422,0.0875,0.2267,1461.0,10082.0,953.0,2157.0,1311.0,6035.0,682.0,1769.0,150.0,4047.0,271.0,388.0,0.5169,0.3128,0.2034,0.0867,0.9842
OP + EOP,0.7727,0.3717,0.2177,0.0628,0.0634,0.7212,0.7289,0.8643,0.7274,0.6437,0.3378,0.0875,0.263,985.0,10338.0,697.0,2633.0,835.0,6291.0,426.0,2245.0,150.0,4047.0,271.0,388.0,0.3847,0.3128,0.1287,0.0867,0.9211
OP + ROC,0.7071,0.539,0.1314,0.321,0.2675,0.2918,0.3091,0.6822,0.7194,0.7844,0.4578,0.0508,0.1621,2509.0,7852.0,3183.0,1109.0,2128.0,4920.0,1797.0,952.0,381.0,2932.0,1386.0,157.0,0.6076,0.3306,0.4006,0.3639,0.9629
OP + GFC,0.7841,0.4082,0.2073,0.057,0.0582,0.7361,0.6919,0.8678,0.7426,0.634,0.2918,0.0886,0.252,1091.0,10398.0,637.0,2527.0,949.0,6326.0,391.0,2131.0,142.0,4072.0,246.0,396.0,0.4294,0.3067,0.1368,0.0799,0.9928
OP + GFC + EOP,0.7767,0.3688,0.218,0.057,0.0542,0.7361,0.7357,0.8678,0.7316,0.634,0.309,0.0886,0.2629,956.0,10425.0,610.0,2662.0,814.0,6353.0,364.0,2266.0,142.0,4072.0,246.0,396.0,0.3823,0.3067,0.1202,0.0799,0.9581
OP + GFC + ROC,0.7841,0.4082,0.2073,0.057,0.0582,0.7361,0.6919,0.8678,0.7426,0.634,0.2918,0.0886,0.252,1091.0,10398.0,637.0,2527.0,949.0,6326.0,391.0,2131.0,142.0,4072.0,246.0,396.0,0.4294,0.3067,0.1368,0.0799,0.9928
OP + PR,0.78,0.4665,0.1895,0.0834,0.0974,0.6822,0.5981,0.8503,0.7452,0.678,0.3457,0.0849,0.233,1409.0,10021.0,1014.0,2209.0,1238.0,6063.0,654.0,1842.0,171.0,3958.0,360.0,367.0,0.498,0.3199,0.1931,0.1093,0.9708
OP + PR + EOP,0.7656,0.3971,0.2112,0.0834,0.0874,0.6822,0.6883,0.8503,0.7237,0.678,0.3794,0.0849,0.257,1131.0,10088.0,947.0,2487.0,960.0,6130.0,587.0,2120.0,171.0,3958.0,360.0,367.0,0.415,0.3199,0.1579,0.1093,0.9063
OP + PR + ROC,0.6622,0.5299,0.1156,0.3909,0.3624,0.2416,0.2266,0.6256,0.6803,0.8053,0.5054,0.0471,0.1401,2790.0,6913.0,4122.0,828.0,2382.0,4283.0,2434.0,698.0,408.0,2630.0,1688.0,130.0,0.6033,0.3098,0.4916,0.4316,0.9161
Logistic Regression,0.8467,0.6536,0.1254,0.0249,0.0994,0.487,0.3952,0.9236,0.8088,0.2789,0.2675,0.0589,0.165,1962.0,9525.0,722.0,1358.0,1706.0,5644.0,623.0,1115.0,256.0,3881.0,99.0,243.0,0.6625,0.5995,0.2563,0.0793,0.9462
EOP,0.8208,0.6004,0.1418,0.0945,0.0895,0.4529,0.4495,0.8656,0.7987,0.5794,0.2654,0.059,0.1818,1826.0,9310.0,937.0,1494.0,1553.0,5706.0,561.0,1268.0,273.0,3604.0,376.0,226.0,0.6294,0.4756,0.2326,0.1449,0.9012
ROC,0.7663,0.6309,0.0945,0.2912,0.2234,0.0762,0.2031,0.7328,0.7829,0.7154,0.3838,0.0133,0.1053,2709.0,7688.0,2559.0,611.0,2248.0,4867.0,1400.0,573.0,461.0,2821.0,1159.0,38.0,0.695,0.4351,0.4014,0.3617,0.921
GFC,0.8047,0.3711,0.2109,0.003,0.016,0.8096,0.7565,0.9071,0.7542,0.1121,0.1271,0.0924,0.2571,782.0,10135.0,112.0,2538.0,687.0,6167.0,100.0,2134.0,95.0,3968.0,12.0,404.0,0.3808,0.3135,0.0866,0.0239,0.9811
GFC + EOP,0.7902,0.293,0.2287,0.0116,0.0113,0.8076,0.8249,0.8998,0.7361,0.3239,0.1257,0.0929,0.273,590.0,10130.0,117.0,2730.0,494.0,6196.0,71.0,2327.0,96.0,3934.0,46.0,403.0,0.2918,0.2995,0.0622,0.0317,0.9653
