,Accuracy,F1 Score,Theil Index,False Positive Rate - Unprivileged,False Positive Rate - Privileged,False Negative Rate - Unprivileged,False Negative Rate - Privileged,Accuracy - Unprivileged,Accuracy - Privileged,False Discovery Rate - Unprivileged,False Discovery Rate - Privileged,False Omission Rate - Unprivileged,False Omission Rate - Privileged,Num True Pos,Num True Neg,Num False Pos,Num False Neg,Num True Pos - Privileged,Num True Neg - Privileged,Num False Pos - Privileged,Num False Neg - Privileged,Num True Pos - Unprivileged,Num True Neg - Unprivileged,Num False Pos - Unprivileged,Num False Neg - Unprivileged,F1 Score - Privileged,F1 Score - Unprivileged,Privileged base Rate,Unprivileged base Rate,Consistency
DIR,0.8986999999999999,0.5190333333333333,0.08579999999999999,0.08889999999999999,0.03253333333333333,0.4264333333333334,0.5745,0.8331333333333334,0.9006666666666666,0.33913333333333334,0.3520666666666667,0.1215,0.07706666666666667,499.6666666666667,7721.0,271.3333333333333,655.0,466.0,7538.333333333333,253.33333333333334,629.6666666666666,33.666666666666664,182.66666666666666,18.0,25.333333333333332,0.5136,0.6081666666666666,0.08093333333333333,0.19876666666666667,0.9560666666666666
DIR + EOP,0.8736666666666667,0.46586666666666665,0.0938,0.06413333333333333,0.06313333333333333,0.6583,0.5584666666666667,0.7996,0.8758333333333334,0.3816,0.5029666666666667,0.17196666666666668,0.07733333333333334,503.6666666666667,7487.666666666667,504.6666666666667,651.0,483.6666666666667,7300.0,491.6666666666667,612.0,20.0,187.66666666666666,13.0,39.0,0.4673,0.43436666666666673,0.10973333333333334,0.12683333333333333,0.9157666666666667
DIR + CEOP,0.8792333333333332,0.15826666666666667,0.12453333333333333,0.08739999999999999,0.0047,0.4264333333333334,0.9357000000000001,0.8343333333333334,0.8805666666666667,0.3351,0.34240000000000004,0.12136666666666666,0.11673333333333331,104.33333333333333,7938.0,54.333333333333336,1050.3333333333333,70.66666666666667,7755.0,36.666666666666664,1025.0,33.666666666666664,183.0,17.666666666666668,25.333333333333332,0.1168,0.6101,0.012066666666666665,0.19753333333333334,0.9801333333333333
DIR + ROC,0.24689999999999998,0.2511333333333334,0.03413333333333333,0.6958333333333333,0.8661,0.0,0.0006,0.4622,0.24056666666666668,0.7015666666666666,0.8603000000000001,0.0,0.0006,1154.0,1104.3333333333333,6888.0,0.6666666666666666,1095.0,1043.3333333333333,6748.333333333333,0.6666666666666666,59.0,61.0,139.66666666666666,0.0,0.24513333333333334,0.45883333333333337,0.8825666666666668,0.7653,0.9151666666666666
DIR + GFC,0.8672666666666666,0.4921333333333333,0.08843333333333332,0.07073333333333333,0.0812,0.48783333333333334,0.49160000000000004,0.8329333333333334,0.8682333333333334,0.3115666666666666,0.5292666666666667,0.1345333333333333,0.06996666666666668,587.3333333333334,7345.333333333333,647.0,567.3333333333334,557.3333333333334,7159.0,632.6666666666666,538.3333333333334,30.0,186.33333333333334,14.333333333333334,29.0,0.48813333333333336,0.5806,0.1339,0.17046666666666666,0.9626666666666667
DIR + GFC + EOP,0.8298,0.43470000000000003,0.09746666666666666,0.04126666666666667,0.12583333333333332,0.6690333333333333,0.4811,0.8148666666666667,0.8302333333333333,0.2987666666666666,0.6190333333333333,0.17096666666666663,0.07186666666666666,587.6666666666666,7002.666666666667,989.6666666666666,567.0,568.3333333333334,6810.333333333333,981.3333333333334,527.3333333333334,19.333333333333332,192.33333333333334,8.333333333333334,39.666666666666664,0.4344333333333334,0.4457,0.17436666666666667,0.10643333333333332,0.9344666666666667
DIR + GFC + CEOP,0.8616999999999999,0.3011,0.11746666666666666,0.07073333333333333,0.04723333333333333,0.4653666666666667,0.7804666666666668,0.8381333333333334,0.8624,0.3022333333333333,0.5986666666666667,0.12906666666666666,0.10323333333333333,272.3333333333333,7609.666666666667,382.6666666666667,882.3333333333334,241.0,7423.333333333333,368.3333333333333,854.6666666666666,31.333333333333332,186.33333333333334,14.333333333333334,27.666666666666668,0.28276666666666667,0.5984666666666666,0.06856666666666666,0.17566666666666667,0.9340333333333334
DIR + GFC + ROC,0.8445333333333332,0.4523,0.09496666666666669,0.07073333333333333,0.10663333333333334,0.47056666666666663,0.5009333333333333,0.8368333333333333,0.8447333333333334,0.3041,0.5897666666666667,0.13033333333333333,0.07313333333333333,578.0,7146.666666666667,845.6666666666666,576.6666666666666,547.0,6960.333333333333,831.3333333333334,548.6666666666666,31.0,186.33333333333334,14.333333333333334,28.0,0.44646666666666673,0.5937,0.15513333333333332,0.17436666666666667,0.9599000000000001
DIR + PR,0.8985,0.5254,0.08473333333333333,0.0691,0.03516666666666667,0.5259666666666667,0.5558333333333333,0.8251333333333334,0.9006,0.31166666666666665,0.36013333333333336,0.1432,0.07496666666666667,514.0,7704.333333333333,288.0,640.6666666666666,486.3333333333333,7517.666666666667,274.0,609.3333333333334,27.666666666666668,186.66666666666666,14.0,31.333333333333332,0.5240999999999999,0.5485,0.08556666666666667,0.1602,0.9548333333333333
DIR + PR + EOP,0.8862,0.4931666666666666,0.0896,0.05276666666666666,0.04896666666666666,0.6931666666666666,0.5539999999999999,0.8008666666666665,0.8887333333333333,0.3617000000000001,0.4384333333333334,0.17756666666666665,0.07573333333333333,506.3333333333333,7600.0,392.3333333333333,648.3333333333334,488.3333333333333,7410.0,381.6666666666667,607.3333333333334,18.0,190.0,10.666666666666666,41.0,0.4968333333333333,0.41063333333333335,0.0979,0.11030000000000001,0.9359000000000001
