,Accuracy,F1 Score,Theil Index,False Positive Rate - Unprivileged,False Positive Rate - Privileged,False Negative Rate - Unprivileged,False Negative Rate - Privileged,Accuracy - Unprivileged,Accuracy - Privileged,False Discovery Rate - Unprivileged,False Discovery Rate - Privileged,False Omission Rate - Unprivileged,False Omission Rate - Privileged,Num True Pos,Num True Neg,Num False Pos,Num False Neg,Num True Pos - Privileged,Num True Neg - Privileged,Num False Pos - Privileged,Num False Neg - Privileged,Num True Pos - Unprivileged,Num True Neg - Unprivileged,Num False Pos - Unprivileged,Num False Neg - Unprivileged,F1 Score - Privileged,F1 Score - Unprivileged,Privileged base Rate,Unprivileged base Rate,Consistency
OP,0.6658,0.6936666666666667,0.21443333333333334,0.3443333333333333,0.48103333333333337,0.30873333333333336,0.2578333333333333,0.6727,0.6553,0.35556666666666664,0.28936666666666666,0.2984333333333334,0.4388666666666667,599.3333333333334,455.3333333333333,290.0,239.33333333333334,284.6666666666667,125.33333333333333,116.66666666666667,99.0,314.6666666666667,330.0,173.33333333333334,140.33333333333334,0.7247666666666666,0.6669666666666666,0.6413000000000001,0.5092,0.9762666666666666
OP + EOP,0.6437333333333334,0.6858,0.20586666666666664,0.44993333333333335,0.4716666666666667,0.2586,0.27353333333333335,0.64,0.6494333333333334,0.40123333333333333,0.2897666666666667,0.2985,0.4504333333333333,615.6666666666666,404.0,341.3333333333333,223.0,278.6666666666667,127.66666666666667,114.33333333333333,105.0,337.0,276.3333333333333,227.0,118.0,0.7173333333333334,0.6615666666666667,0.6280333333333333,0.5885666666666666,0.8774333333333333
OP + CEOP,0.6635,0.6974333333333332,0.2046,0.3443333333333333,0.5576333333333333,0.30873333333333336,0.21866666666666668,0.6727,0.6494666666666666,0.35556666666666664,0.3098,0.2984333333333334,0.43826666666666664,614.3333333333334,436.6666666666667,308.6666666666667,224.33333333333334,299.6666666666667,106.66666666666667,135.33333333333334,84.0,314.6666666666667,330.0,173.33333333333334,140.33333333333334,0.7318333333333333,0.6669666666666666,0.6951333333333333,0.5092,0.9462333333333334
OP + ROC,0.6611666666666667,0.6807,0.23323333333333332,0.3564333333333333,0.3774,0.298,0.3407,0.6716333333333333,0.6452,0.35966666666666675,0.26530000000000004,0.29466666666666663,0.4645333333333333,572.6666666666666,474.6666666666667,270.6666666666667,266.0,253.0,150.66666666666666,91.33333333333333,130.66666666666666,319.6666666666667,324.0,179.33333333333334,135.33333333333334,0.6949666666666667,0.6696,0.5503666666666667,0.5206333333333333,0.9703333333333334
OP + GFC,0.5338999999999999,0.24263333333333334,0.5348333333333334,0.19999999999999998,0.2283666666666667,0.7178,0.6993,0.5640666666666666,0.48789999999999994,0.13976666666666668,0.10503333333333333,0.4008,0.5187333333333334,251.0,594.6666666666666,150.66666666666666,587.6666666666666,116.66666666666667,188.33333333333334,53.666666666666664,267.0,134.33333333333334,406.3333333333333,97.0,320.6666666666667,0.25953333333333334,0.22963333333333333,0.27340000000000003,0.24073333333333333,0.9927333333333334
OP + GFC + EOP,0.5422666666666666,0.5776333333333333,0.28750000000000003,0.5564333333333334,0.5358666666666666,0.39270000000000005,0.3672333333333333,0.5247666666666667,0.5692333333333334,0.5130666666666667,0.3535333333333333,0.40969999999999995,0.5210666666666667,522.3333333333334,336.6666666666667,408.6666666666667,316.3333333333333,243.33333333333334,112.66666666666667,129.33333333333334,140.33333333333334,279.0,224.0,279.3333333333333,176.0,0.6322666666666666,0.5367,0.5960333333333333,0.5824,0.6631333333333335
OP + GFC + CEOP,0.4661,0.5165000000000001,0.27296666666666664,0.7999999999999999,0.7716333333333333,0.2822,0.3007,0.43593333333333334,0.5121,0.5992,0.4812666666666667,0.19356666666666666,0.22829999999999998,587.6666666666666,150.66666666666666,594.6666666666666,251.0,267.0,53.666666666666664,188.33333333333334,116.66666666666667,320.6666666666667,97.0,406.3333333333333,134.33333333333334,0.5550333333333334,0.48836666666666667,0.7266,0.7592666666666666,0.9927333333333334
OP + GFC + ROC,0.4953666666666667,0.4599666666666667,0.30306666666666665,0.6769666666666666,0.6766,0.33053333333333335,0.3333333333333333,0.4740666666666667,0.5276333333333333,0.6201666666666666,0.5943666666666667,0.16703333333333334,0.20996666666666666,552.0,232.66666666666666,512.6666666666666,286.6666666666667,254.33333333333334,76.0,166.0,129.33333333333334,297.6666666666667,156.66666666666666,346.6666666666667,157.33333333333334,0.5043666666666667,0.42826666666666663,0.6704,0.6732666666666667,0.9965333333333334
OP + PR,0.3339666666666667,0.31316666666666665,0.5320999999999999,0.6734333333333332,0.4901333333333333,0.6638666666666667,0.7698,0.3308,0.33886666666666665,0.6898333333333334,0.5756333333333333,0.6477,0.7059666666666667,241.0,288.0,457.3333333333333,597.6666666666666,88.33333333333333,123.66666666666667,118.33333333333333,295.3333333333333,152.66666666666666,164.33333333333334,339.0,302.3333333333333,0.2972666666666666,0.3221333333333333,0.3304666666666667,0.5130666666666667,0.9771333333333333
OP + PR + EOP,0.629,0.6753999999999999,0.20956666666666668,0.48513333333333336,0.48163333333333336,0.2673333333333333,0.2733,0.6177,0.6462666666666667,0.42219999999999996,0.2949,0.3194333333333333,0.45280000000000004,612.3333333333334,384.0,361.3333333333333,226.33333333333334,279.0,125.33333333333333,116.66666666666667,104.66666666666667,333.3333333333333,258.6666666666667,244.66666666666666,121.66666666666667,0.7151333333333333,0.6452,0.6323333333333333,0.6031333333333334,0.8383333333333333
