,Accuracy,F1 Score,Theil Index,False Positive Rate - Unprivileged,False Positive Rate - Privileged,False Negative Rate - Unprivileged,False Negative Rate - Privileged,Accuracy - Unprivileged,Accuracy - Privileged,False Discovery Rate - Unprivileged,False Discovery Rate - Privileged,False Omission Rate - Unprivileged,False Omission Rate - Privileged,Num True Pos,Num True Neg,Num False Pos,Num False Neg,Num True Pos - Privileged,Num True Neg - Privileged,Num False Pos - Privileged,Num False Neg - Privileged,Num True Pos - Unprivileged,Num True Neg - Unprivileged,Num False Pos - Unprivileged,Num False Neg - Unprivileged,F1 Score - Privileged,F1 Score - Unprivileged,Privileged base Rate,Unprivileged base Rate,Consistency
OP,0.7089,0.8248333333333333,0.06663333333333334,0.8421666666666666,0.9838666666666667,0.0689,0.0055000000000000005,0.5379333333333333,0.7501333333333333,0.48166666666666663,0.24780000000000002,0.25,0.16666666666666666,206.33333333333334,6.333333333333333,84.33333333333333,3.0,179.33333333333334,1.0,59.0,1.0,27.0,5.333333333333333,25.333333333333332,2.0,0.8563000000000001,0.6622,0.9918,0.8839333333333333,0.9964333333333334
OP + EOP,0.5755666666666667,0.6709666666666667,0.3353,0.6795,0.6164666666666667,0.36683333333333334,0.323,0.4610333333333334,0.6022666666666667,0.5354,0.22863333333333333,0.5264666666666667,0.6482333333333333,140.0,32.666666666666664,58.0,69.33333333333333,122.33333333333333,22.666666666666668,37.333333333333336,58.0,17.666666666666668,10.0,20.666666666666668,11.333333333333334,0.7011666666666666,0.5172,0.6619,0.6524,0.7038000000000001
OP + CEOP,0.7089,0.8255666666666667,0.0634,0.8421666666666666,1.0,0.0689,0.0,0.5379333333333333,0.7501333333333333,0.48166666666666663,0.24986666666666668,0.25,0.0,207.33333333333334,5.333333333333333,85.33333333333333,2.0,180.33333333333334,0.0,60.0,0.0,27.0,5.333333333333333,25.333333333333332,2.0,0.8569999999999999,0.6622,1.0,0.8839333333333333,0.9955666666666666
OP + ROC,0.5833333333333334,0.6395666666666667,0.435,0.2819333333333333,0.3050333333333333,0.5390333333333334,0.45976666666666666,0.6047333333333333,0.5784333333333334,0.3704,0.15806666666666666,0.4114333333333334,0.6651333333333334,111.0,64.0,26.666666666666668,98.33333333333333,97.33333333333333,41.666666666666664,18.333333333333332,83.0,13.666666666666666,22.333333333333332,8.333333333333334,15.333333333333334,0.6576666666666667,0.5196999999999999,0.48113333333333336,0.36843333333333333,0.9635333333333334
OP + GFC,0.6988666666666666,0.8203,0.06580000000000001,0.9547333333333334,0.9710333333333333,0.03556666666666666,0.009033333333333332,0.49193333333333333,0.7501333333333333,0.5117333333333334,0.2462,0.3889,0.3333333333333333,206.66666666666666,3.0,87.66666666666667,2.6666666666666665,178.66666666666666,1.6666666666666667,58.333333333333336,1.6666666666666667,28.0,1.3333333333333333,29.333333333333332,1.0,0.8559000000000001,0.6473666666666666,0.9862666666666667,0.9611666666666667,0.9908666666666667
OP + GFC + EOP,0.5589,0.6440666666666667,0.3769333333333334,0.6127,0.5972333333333334,0.3779333333333333,0.36179999999999995,0.4849666666666666,0.5759666666666666,0.5072,0.2347,0.4988666666666666,0.6552333333333333,132.33333333333334,35.333333333333336,55.333333333333336,77.0,115.0,23.666666666666668,36.333333333333336,65.33333333333333,17.333333333333332,11.666666666666666,19.0,11.666666666666666,0.6681666666666667,0.5214,0.6273,0.6180333333333333,0.7049
OP + GFC + CEOP,0.6977666666666668,0.8203666666666667,0.06269999999999999,0.9547333333333334,0.9946333333333334,0.03556666666666666,0.0036666666666666666,0.49193333333333333,0.7487666666666667,0.5117333333333334,0.2495333333333333,0.3889,0.2222333333333333,207.66666666666666,1.6666666666666667,89.0,1.6666666666666667,179.66666666666666,0.3333333333333333,59.666666666666664,0.6666666666666666,28.0,1.3333333333333333,29.333333333333332,1.0,0.8558666666666666,0.6473666666666666,0.9959000000000001,0.9611666666666667,0.9889
OP + GFC + ROC,0.6988666666666666,0.8203,0.06580000000000001,0.9547333333333334,0.9710333333333333,0.03556666666666666,0.009033333333333332,0.49193333333333333,0.7501333333333333,0.5117333333333334,0.2462,0.3889,0.3333333333333333,206.66666666666666,3.0,87.66666666666667,2.6666666666666665,178.66666666666666,1.6666666666666667,58.333333333333336,1.6666666666666667,28.0,1.3333333333333333,29.333333333333332,1.0,0.8559000000000001,0.6473666666666666,0.9862666666666667,0.9611666666666667,0.9908666666666667
OP + PR,0.7000000000000001,0.8215,0.06273333333333334,0.9589,0.9838666666666667,0.02666666666666667,0.0055000000000000005,0.49626666666666663,0.7501333333333333,0.5104666666666667,0.24780000000000002,0.16666666666666666,0.16666666666666666,207.66666666666666,2.3333333333333335,88.33333333333333,1.6666666666666667,179.33333333333334,1.0,59.0,1.0,28.333333333333332,1.3333333333333333,29.333333333333332,0.6666666666666666,0.8563000000000001,0.6509666666666667,0.9918,0.9657999999999999,0.9971
OP + PR + EOP,0.5733333333333334,0.6685666666666666,0.3393333333333333,0.6785666666666668,0.6111,0.39126666666666665,0.3248333333333333,0.45059999999999995,0.6022666666666667,0.5468333333333333,0.22793333333333332,0.5365666666666667,0.6482333333333333,139.0,33.0,57.666666666666664,70.33333333333333,122.0,23.0,37.0,58.333333333333336,17.0,10.0,20.666666666666668,12.0,0.7009333333333334,0.5028666666666667,0.6591666666666667,0.6405,0.7128666666666666
