,Accuracy,F1 Score,Theil Index,False Positive Rate - Unprivileged,False Positive Rate - Privileged,False Negative Rate - Unprivileged,False Negative Rate - Privileged,Accuracy - Unprivileged,Accuracy - Privileged,False Discovery Rate - Unprivileged,False Discovery Rate - Privileged,False Omission Rate - Unprivileged,False Omission Rate - Privileged,Num True Pos,Num True Neg,Num False Pos,Num False Neg,Num True Pos - Privileged,Num True Neg - Privileged,Num False Pos - Privileged,Num False Neg - Privileged,Num True Pos - Unprivileged,Num True Neg - Unprivileged,Num False Pos - Unprivileged,Num False Neg - Unprivileged,F1 Score - Privileged,F1 Score - Unprivileged,Privileged base Rate,Unprivileged base Rate,Consistency
OP - 3,0.666,0.7003,0.1926,0.3642,0.5542,0.3151,0.1783,0.6583,0.6778,0.3865,0.2949,0.2949,0.392,618.0,437.0,322.0,207.0,318.0,107.0,133.0,69.0,300.0,330.0,189.0,138.0,0.7589,0.6472,0.7193,0.511,0.9682
OP - 11,0.666,0.7059,0.2074,0.3567,0.5404,0.3046,0.2165,0.6691,0.6613,0.3433,0.2947,0.3173,0.4375,635.0,420.0,300.0,229.0,304.0,108.0,127.0,84.0,331.0,312.0,173.0,145.0,0.7424,0.6755,0.6918,0.5245,0.9763
OP - 17,0.6585,0.6896,0.2064,0.3597,0.5299,0.2971,0.2447,0.6698,0.6411,0.3647,0.3189,0.2926,0.4381,601.0,442.0,315.0,226.0,284.0,118.0,133.0,92.0,317.0,324.0,182.0,134.0,0.7163,0.6674,0.6651,0.5214,0.9729
OP + EOP - 3,0.6282,0.6794,0.1921,0.5106,0.5125,0.242,0.2455,0.6123,0.6523,0.4439,0.2964,0.2944,0.4481,624.0,371.0,388.0,201.0,292.0,117.0,123.0,95.0,332.0,254.0,265.0,106.0,0.7282,0.6415,0.6619,0.6238,0.841
OP + EOP - 11,0.6534,0.7084,0.1873,0.4825,0.5021,0.2185,0.2397,0.6483,0.6613,0.3861,0.2857,0.293,0.4429,667.0,368.0,352.0,197.0,295.0,117.0,118.0,93.0,372.0,251.0,234.0,104.0,0.7366,0.6876,0.6629,0.6306,0.8859
OP + EOP - 17,0.6452,0.6814,0.2078,0.419,0.494,0.2639,0.2846,0.6541,0.6316,0.3897,0.3155,0.2881,0.4573,601.0,421.0,336.0,226.0,269.0,127.0,124.0,107.0,332.0,294.0,212.0,119.0,0.6996,0.6673,0.6268,0.5684,0.8903
OP + CEOP - 3,0.6667,0.703,0.1879,0.3642,0.5792,0.3151,0.1602,0.6583,0.6794,0.3865,0.2996,0.2949,0.3804,625.0,431.0,328.0,200.0,325.0,101.0,139.0,62.0,300.0,330.0,189.0,138.0,0.7638,0.6472,0.74,0.511,0.9523
OP + CEOP - 11,0.6654,0.7026,0.2136,0.3526,0.5149,0.3151,0.2268,0.666,0.6645,0.3441,0.2874,0.3233,0.4356,626.0,428.0,292.0,238.0,300.0,114.0,121.0,88.0,326.0,314.0,171.0,150.0,0.7417,0.6701,0.6758,0.5172,0.9736
OP + CEOP - 17,0.6521,0.6903,0.1982,0.3597,0.6215,0.2971,0.2101,0.6698,0.6252,0.3647,0.3444,0.2926,0.454,614.0,419.0,338.0,213.0,297.0,95.0,156.0,79.0,317.0,324.0,182.0,134.0,0.7165,0.6674,0.7225,0.5214,0.9419
OP + ROC - 3,0.5221,0.6855,0.0577,1.0,0.9917,0.0,0.0,0.4577,0.6204,0.5423,0.3808,0.0,0.0,825.0,2.0,757.0,0.0,387.0,2.0,238.0,0.0,438.0,0.0,519.0,0.0,0.7648,0.628,0.9968,1.0,0.9985
