,Accuracy,F1 Score,Theil Index,False Positive Rate - Unprivileged,False Positive Rate - Privileged,False Negative Rate - Unprivileged,False Negative Rate - Privileged,Accuracy - Unprivileged,Accuracy - Privileged,False Discovery Rate - Unprivileged,False Discovery Rate - Privileged,False Omission Rate - Unprivileged,False Omission Rate - Privileged,Num True Pos,Num True Neg,Num False Pos,Num False Neg,Num True Pos - Privileged,Num True Neg - Privileged,Num False Pos - Privileged,Num False Neg - Privileged,Num True Pos - Unprivileged,Num True Neg - Unprivileged,Num False Pos - Unprivileged,Num False Neg - Unprivileged,F1 Score - Privileged,F1 Score - Unprivileged,Privileged base Rate,Unprivileged base Rate,Consistency
OP,0.6635,0.6986,0.20213333333333336,0.3602,0.5415,0.3055999999999999,0.21316666666666664,0.6657333333333333,0.6600666666666667,0.36483333333333334,0.30283333333333334,0.30160000000000003,0.42253333333333337,618.0,433.0,312.3333333333333,220.66666666666666,302.0,111.0,131.0,81.66666666666667,316.0,322.0,181.33333333333334,139.0,0.7392,0.6633666666666667,0.6920666666666667,0.5189666666666666,0.9724666666666666
OP + EOP,0.6422666666666667,0.6897333333333333,0.19573333333333331,0.47070000000000006,0.5028666666666667,0.2414666666666667,0.2566,0.6382333333333333,0.6484000000000001,0.4065666666666667,0.2992,0.29183333333333333,0.44943333333333335,630.6666666666666,386.6666666666667,358.6666666666667,208.0,285.3333333333333,120.33333333333333,121.66666666666667,98.33333333333333,345.3333333333333,266.3333333333333,237.0,109.66666666666667,0.7214666666666666,0.6654666666666667,0.6505333333333334,0.6076,0.8724
OP + CEOP,0.6614,0.6986333333333333,0.1999,0.3588333333333334,0.5718666666666667,0.3091,0.1990333333333333,0.6647,0.6563666666666667,0.3651,0.31046666666666667,0.30360000000000004,0.42333333333333334,621.6666666666666,426.0,319.3333333333333,217.0,307.3333333333333,103.33333333333333,138.66666666666666,76.33333333333333,314.3333333333333,322.6666666666667,180.66666666666666,140.66666666666666,0.7406666666666667,0.6615666666666666,0.7127666666666667,0.5165333333333333,0.9559333333333333
OP + ROC,0.5681666666666666,0.6874666666666666,0.11576666666666667,0.7897,0.7992666666666667,0.09873333333333334,0.10583333333333333,0.532,0.6234,0.4730666666666667,0.3505666666666667,0.10513333333333334,0.30983333333333335,750.6666666666666,149.33333333333334,596.0,88.0,342.6666666666667,47.333333333333336,194.66666666666666,41.0,408.0,102.0,401.3333333333333,47.0,0.7414999999999999,0.6484666666666666,0.8582666666666666,0.8449666666666666,0.9885333333333334
OP + GFC,0.5084333333333334,0.23629999999999998,0.5176999999999999,0.3216333333333333,0.2624,0.6694666666666667,0.6898666666666666,0.5266,0.4809333333333334,0.16596666666666668,0.11293333333333333,0.37316666666666665,0.5225,277.6666666666667,527.6666666666666,217.66666666666666,561.0,120.33333333333333,180.33333333333334,61.666666666666664,263.3333333333333,157.33333333333334,347.3333333333333,156.0,297.6666666666667,0.25766666666666665,0.2222333333333333,0.2921333333333333,0.32603333333333334,0.9967333333333332
OP + GFC + EOP,0.5146999999999999,0.5719333333333333,0.2663333333333333,0.6670666666666666,0.6323333333333333,0.35486666666666666,0.3294333333333333,0.4876666666666667,0.5563666666666667,0.5379666666666667,0.3717,0.4230666666666667,0.49910000000000004,555.0,260.3333333333333,485.0,283.6666666666667,258.0,90.0,152.0,125.66666666666667,297.0,170.33333333333334,333.0,158.0,0.6329333333333333,0.527,0.6559666666666667,0.6569666666666667,0.6736666666666666
OP + GFC + CEOP,0.4915666666666667,0.4784333333333333,0.29656666666666665,0.6783666666666667,0.7376,0.33053333333333335,0.3101333333333333,0.47340000000000004,0.5190666666666667,0.6268333333333332,0.47750000000000004,0.16736666666666666,0.2204,561.0,217.66666666666666,527.6666666666666,277.6666666666667,263.3333333333333,61.666666666666664,180.33333333333334,120.33333333333333,297.6666666666667,156.0,347.3333333333333,157.33333333333334,0.5430666666666667,0.4282333333333333,0.7078666666666665,0.6739666666666667,0.9967333333333332
OP + GFC + ROC,0.4949333333333334,0.4599666666666667,0.3033666666666666,0.6783666666666667,0.6766,0.33053333333333335,0.3333333333333333,0.47340000000000004,0.5276333333333333,0.6268333333333332,0.5943666666666667,0.16736666666666666,0.20996666666666666,552.0,232.0,513.3333333333334,286.6666666666667,254.33333333333334,76.0,166.0,129.33333333333334,297.6666666666667,156.0,347.3333333333333,157.33333333333334,0.5043666666666667,0.4282333333333333,0.6704,0.6739666666666667,0.9988333333333334
OP + PR,0.3339666666666667,0.31316666666666665,0.5320999999999999,0.6734333333333332,0.4901333333333333,0.6638666666666667,0.7698,0.3308,0.33886666666666665,0.6898333333333334,0.5756333333333333,0.6477,0.7059666666666667,241.0,288.0,457.3333333333333,597.6666666666666,88.33333333333333,123.66666666666667,118.33333333333333,295.3333333333333,152.66666666666666,164.33333333333334,339.0,302.3333333333333,0.2972666666666666,0.3221333333333333,0.3304666666666667,0.5130666666666667,0.9748
OP + PR + EOP,0.629,0.6753999999999999,0.20956666666666668,0.48513333333333336,0.48163333333333336,0.2673333333333333,0.2733,0.6177,0.6462666666666667,0.42219999999999996,0.2949,0.3194333333333333,0.45280000000000004,612.3333333333334,384.0,361.3333333333333,226.33333333333334,279.0,125.33333333333333,116.66666666666667,104.66666666666667,333.3333333333333,258.6666666666667,244.66666666666666,121.66666666666667,0.7151333333333333,0.6452,0.6323333333333333,0.6031333333333334,0.8544999999999999
OP + PR + CEOP,0.6643333333333333,0.6925,0.2149,0.32336666666666664,0.5328333333333334,0.3422,0.2197,0.6681666666666667,0.6585,0.3522666666666667,0.3002666666666667,0.3129,0.4259,599.0,453.3333333333333,292.0,239.66666666666666,299.3333333333333,112.66666666666667,129.33333333333334,84.33333333333333,299.6666666666667,340.6666666666667,162.66666666666666,155.33333333333334,0.7366666666666667,0.6524,0.685,0.4824,0.9606333333333333
