Bank,Accuracy,Theil Index,Consistency,False Positive Rate - Unprivileged,False Positive Rate - Privileged,False Negative Rate - Unprivileged,False Negative Rate - Privileged,Accuracy - Unprivileged,Accuracy - Privileged,False Discovery Rate - Unprivileged,False Discovery Rate - Privileged,False Omission Rate - Unprivileged,False Omission Rate - Privileged,Num True Pos,Num True Neg,Num False Pos,Num False Neg,Num True Pos - Privileged,Num True Neg - Privileged,Num False Pos - Privileged,Num False Neg - Privileged,Num True Pos - Unprivileged,Num True Neg - Unprivileged,Num False Pos - Unprivileged,Num False Neg - Unprivileged,F1 Score,F1 Score - Privileged,F1 Score - Unprivileged,Base Rate - Privileged,Base Rate - Unprivileged
Logistic Regression,0.9012,0.0845,0.8966,0.0558,0.0311,0.4935,0.5774,0.8212,0.9036,0.22,0.3517,0.1696,0.0748,487,7756,254,650,448,7570,243,612,39,186,11,38,0.5186,0.5117,0.6142,0.1253,0.2068
RW,0.9012,0.0845,0.8966,0.0558,0.0311,0.4935,0.5774,0.8212,0.9036,0.22,0.3517,0.1696,0.0748,487,7756,254,650,448,7570,243,612,39,186,11,38,0.5186,0.5117,0.6142,0.1275,0.1275
DIR,0.8945,0.105,0.8966,0.0152,0.0105,0.6623,0.7821,0.8029,0.8973,0.1034,0.262,0.2082,0.0968,257,7925,85,880,231,7731,82,829,26,194,3,51,0.3475,0.3365,0.4906,0.1253,0.2068
PR,0.899,0.0865,0.8966,0.0711,0.0314,0.5714,0.5858,0.7883,0.9024,0.2979,0.3582,0.1938,0.0758,472,7751,259,665,439,7568,245,621,33,183,14,44,0.5054,0.5034,0.5323,0.1253,0.2068
GSR,0.8981,0.0883,0.8966,0.0152,0.0314,0.6494,0.5981,0.8066,0.9009,0.1,0.3651,0.2049,0.0773,453,7762,248,684,426,7568,245,634,27,194,3,50,0.4929,0.4922,0.5047,0.1253,0.2068
EGR,0.8987,0.0864,0.8966,0.0102,0.0337,0.6494,0.5774,0.8102,0.9014,0.069,0.3699,0.2041,0.075,475,7745,265,662,448,7550,263,612,27,195,2,50,0.5061,0.5059,0.5094,0.1253,0.2068
EOP,0.8884,0.0883,0.8966,0.0406,0.0475,0.5455,0.566,0.8175,0.8906,0.186,0.4465,0.1818,0.0746,495,7631,379,642,460,7442,371,600,35,189,8,42,0.4923,0.4865,0.5833,0.1253,0.2068
ROC,0.8893,0.1117,0.8966,0.0102,0.0093,0.7532,0.8302,0.781,0.8926,0.0952,0.2885,0.2292,0.1021,199,7935,75,938,180,7740,73,880,19,195,2,58,0.2821,0.2742,0.3878,0.1253,0.2068
CEOP,0.8788,0.1284,0.8966,0.0558,0,0.4935,1,0.8212,0.8805,0.22,0,0.1696,0.1195,39,7999,11,1098,0,7813,0,1060,39,186,11,38,0.0657,0,0.6142,0.1253,0.2068
RW + EGR,0.8987,0.0864,0.8966,0.0102,0.0337,0.6494,0.5774,0.8102,0.9014,0.069,0.3699,0.2041,0.075,475,7745,265,662,448,7550,263,612,27,195,2,50,0.5061,0.5059,0.5094,0.1275,0.1275
RW + GSR,0.8981,0.0883,0.8966,0.0152,0.0314,0.6494,0.5981,0.8066,0.9009,0.1,0.3651,0.2049,0.0773,453,7762,248,684,426,7568,245,634,27,194,3,50,0.4929,0.4922,0.5047,0.1275,0.1275
RW + PR,0.899,0.0865,0.8966,0.0711,0.0314,0.5714,0.5858,0.7883,0.9024,0.2979,0.3582,0.1938,0.0758,472,7751,259,665,439,7568,245,621,33,183,14,44,0.5054,0.5034,0.5323,0.1275,0.1275
RW + CEOP,0.8788,0.1284,0.8966,0.0558,0,0.4935,1,0.8212,0.8805,0.22,0,0.1696,0.1195,39,7999,11,1098,0,7813,0,1060,39,186,11,38,0.0657,0,0.6142,0.1275,0.1275
RW + ROC,0.8893,0.1117,0.8966,0.0102,0.0093,0.7532,0.8302,0.781,0.8926,0.0952,0.2885,0.2292,0.1021,199,7935,75,938,180,7740,73,880,19,195,2,58,0.2821,0.2742,0.3878,0.1275,0.1275
RW + EOP,0.8877,0.0888,0.8966,0.0406,0.0479,0.5455,0.5689,0.8175,0.8899,0.186,0.4501,0.1818,0.075,492,7628,382,645,457,7439,374,603,35,189,8,42,0.4893,0.4833,0.5833,0.1275,0.1275
DIR + EGR,0.8898,0.1122,0.8966,0,0.0077,0.9091,0.8283,0.7445,0.8943,0,0.2479,0.2622,0.1017,189,7950,60,948,182,7753,60,878,7,197,0,70,0.2727,0.2796,0.1667,0.1253,0.2068
DIR + GSR,0.8923,0.1086,0.8966,0,0.009,0.7922,0.8057,0.7774,0.8959,0,0.2536,0.2364,0.0993,222,7940,70,915,206,7743,70,854,16,197,0,61,0.3107,0.3084,0.3441,0.1253,0.2068
DIR + PR,0.8933,0.1058,0.8966,0.0152,0.0115,0.7403,0.7792,0.781,0.8968,0.1304,0.2778,0.2271,0.0966,254,7917,93,883,234,7723,90,826,20,194,3,57,0.3423,0.3382,0.4,0.1253,0.2068
