,Accuracy,F1 Score,Theil Index,Consistency,FPR Diff,FNR Diff,Accuracy Diff,FOR Diff,FDR Diff,Statistical Parity Diff,F1 Score Diff
Logistic Regression,0.7925249999166667,0.67998333325,0.13949999991666664,0.89206666675,0.10100833341666665,0.09474166658333333,0.08597500008333339,0.09650000008333334,0.06457500000000001,0.1612499999166667,0.08055833325000003
OP,0.7216777776666666,0.6676888889999999,0.15296666655555555,0.9838222223333334,0.10543333333333338,0.09115555533333332,0.11245555566666669,0.11848888888888891,0.20449999988888887,0.11872222222222227,0.15672222233333336
DIR,0.7901416666666666,0.6815333333333333,0.1300583333333333,0.9034083334166667,0.0634249999166667,0.09514166674999998,0.09179999999999999,0.09515000000000001,0.08565833333333335,0.128625,0.10004999983333329
EOP,0.7580249999166666,0.6393416665833334,0.16102499991666663,0.8363416666666666,0.02530833316666665,0.04022499991666664,0.05305833333333326,0.15326666675,0.16562499991666668,0.0683916665,0.0746583335
CEOP,0.7786166666666667,0.5585416666666667,0.14482499991666664,0.9168583333333333,0.19718333341666666,0.3469166666666667,0.06338333341666669,0.07354166674999998,0.15320833325,0.23571666666666663,0.3536166666666667
ROC,0.7623166667500001,0.608175,0.17847499991666665,0.8750999999166666,0.03379166675000001,0.09667500000000002,0.051816666666666594,0.12456666675,0.18151666658333337,0.06046666675000007,0.11630833316666667
GFC,0.7067666665833333,0.5489166666666666,0.16928333341666663,0.9350499999999999,0.040033333333333365,0.06570833341666668,0.06330833325000002,0.09598333316666667,0.10550833316666669,0.0870333331666667,0.10890833341666667
PR,0.7014916665833333,0.5669583334166667,0.24177499991666665,0.8844666665833334,0.08529166675000004,0.08518333325,0.08907500000000004,0.08308333324999996,0.12285000008333335,0.13893333324999999,0.06710833325000003
EGR,0.7806416666666667,0.659125,0.15039999991666664,0.883625,0.03494999999999998,0.14842500000000003,0.09363333333333337,0.1336249998333333,0.18465833333333334,0.03473333333333336,0.08569166675000003
GSR,0.78540833325,0.6637583334166667,0.14567500008333334,0.8919583332500001,0.07720833341666668,0.10188333341666662,0.08257500008333343,0.1319416665,0.16330833341666667,0.06720833333333337,0.06113333333333343
OP + EOP,0.664611111,0.5755555555555555,0.25093333322222217,0.8335444444444445,0.02935555555555555,0.02012222222222217,0.09264444455555558,0.14749999999999996,0.24617777777777775,0.029044444555555608,0.10911111111111109
OP + CEOP,0.7209111109999999,0.669188889,0.148611111,0.9735222223333334,0.13634444444444446,0.10604444422222221,0.11440000011111114,0.17384444444444438,0.19699999988888883,0.1394,0.15931111122222222
OP + ROC,0.6431222223333334,0.6170555555555556,0.2624333334444444,0.9627999998888889,0.033511111222222244,0.04674444455555559,0.03708888877777775,0.17375555555555558,0.20635555533333336,0.058377777777777806,0.15057777777777784
OP + GFC,0.6732222222222223,0.49008888877777773,0.26725555544444446,0.9906,0.016188888888888846,0.02851111111111108,0.15031111122222227,0.11043333333333337,0.21866666655555556,0.03614444422222223,0.12245555544444447
OP + PR,0.6054555555555555,0.5328444445555555,0.2596666667777778,0.9798666667777777,0.07312222222222224,0.07037777766666663,0.1203111111111111,0.06698888888888889,0.23781111122222223,0.09602222233333334,0.13800000000000004
OP + EGR,0.7129222221111111,0.6485222221111111,0.16324444455555553,0.9615222221111109,0.03707777777777787,0.05801111111111112,0.11542222200000003,0.24894444466666668,0.2306111111111111,0.0238222223333333,0.09777777788888882
OP + GSR,0.7179777776666666,0.6663000001111111,0.1513222221111111,0.9842666667777777,0.05998888888888879,0.07263333311111109,0.1298111112222222,0.09071111111111112,0.21554444433333333,0.08400000000000006,0.16087777788888888
DIR + EOP,0.7624,0.64731666675,0.14423333324999998,0.8560833332500001,0.020683333500000022,0.04138333349999999,0.0807000000833333,0.13914166666666666,0.19140000008333335,0.047025000083333345,0.10349166666666665
DIR + CEOP,0.77674166675,0.5781333333333334,0.13702499991666664,0.9238,0.1436666666666666,0.32879166674999993,0.07187499991666668,0.07909999991666665,0.13183333325,0.19670833325000003,0.3488749999166667
DIR + ROC,0.6057083334166666,0.5985083332500001,0.1361750000833333,0.8730583333333334,0.09350000000000003,0.04724166674999995,0.09525000000000002,0.10589166666666669,0.20284166650000002,0.05227499991666676,0.1486583333333334
DIR + GFC,0.6444,0.472275,0.2697166666666666,0.9586250000000001,0.016858333500000006,0.040725000083333324,0.020658333416666647,0.10427499991666665,0.11098333333333335,0.027841666749999945,0.09879166666666665
DIR + PR,0.7027749999999999,0.5678416665833333,0.2397166665833333,0.8942666665833333,0.09822500016666669,0.04537500008333331,0.09051666649999997,0.09568333325000004,0.11567499999999999,0.11590833341666663,0.07758333316666674
DIR + EGR,0.7852083334166666,0.6807666666666667,0.1315000000833333,0.8979500000833334,0.05649166666666667,0.10413333316666666,0.10386666666666675,0.111025,0.1158583331666667,0.08720833341666664,0.1199916665833334
DIR + GSR,0.7851583334166666,0.6813,0.13205833325,0.8990499999999999,0.05106666650000004,0.16125833333333334,0.10305000000000009,0.11406666649999998,0.151725,0.11515833333333333,0.16809166666666667
GFC + EOP,0.7077833334166667,0.5137333334166667,0.20379166675,0.8668583333333333,0.020383333333333337,0.01560000016666667,0.06308333341666669,0.17017499991666668,0.14360833325,0.04517500000000006,0.059591666666666654
GFC + CEOP,0.6552999999166667,0.385125,0.28622499999999995,0.9323583334166666,0.11942500008333332,0.16260000000000002,0.0585999999166667,0.08828333325000005,0.10374166666666665,0.13244999983333333,0.2129083335
GFC + ROC,0.6907916665833334,0.45507500008333335,0.2915333333333333,0.9261916666666667,0.03985833333333333,0.0710666666666667,0.08219166649999995,0.09437499999999997,0.13810833324999996,0.08004166666666669,0.07535
PR + EOP,0.77321666675,0.6592333333333333,0.14393333324999996,0.8629749999166667,0.009550000083333341,0.04942500008333333,0.08088333325000002,0.10104999991666672,0.19381666666666666,0.07832499999999998,0.09907500000000002
PR + CEOP,0.7773333332500001,0.5841833334166666,0.15789999999999998,0.8906666665833334,0.10795833333333336,0.2889166666666667,0.07895833333333335,0.074475,0.13660833325000005,0.18544166666666667,0.3095249999166667
PR + ROC,0.7581916666666667,0.61826666675,0.1722,0.8717833334166667,0.027283333500000027,0.10401666675000001,0.06299166650000004,0.12361666675000002,0.18228333333333335,0.06652499991666667,0.1220750001666667
EGR + EOP,0.76894166675,0.6144083334166667,0.16270833324999998,0.8638666666666667,0.0046999999166666495,0.02995833325000001,0.08311666650000007,0.12212499991666666,0.19050833349999996,0.06075833341666668,0.086525
EGR + CEOP,0.7678333334166667,0.55763333325,0.15806666666666663,0.905275,0.07207500008333335,0.2161916665833333,0.08212499983333332,0.1132250000833333,0.12701666674999998,0.12456666666666669,0.23629166683333333
EGR + ROC,0.7751416666666667,0.5740250000833333,0.16112499991666662,0.8951916665833334,0.03575000000000002,0.11596666658333331,0.09676666658333333,0.12724166650000002,0.16789166675,0.02995,0.062200000083333346
GSR + EOP,0.7667999999166667,0.6361249999166666,0.14372499991666662,0.8665500000833333,0.024308333333333307,0.027133333333333308,0.07149166658333336,0.15346666658333336,0.18204166649999998,0.06230833349999999,0.08440833333333336
GSR + CEOP,0.7741083334166666,0.5553166666666667,0.14872499991666666,0.9146166665833333,0.10543333324999998,0.17731666666666673,0.0663333334166667,0.11637499999999999,0.08678333316666667,0.13983333333333337,0.26327500008333343
GSR + ROC,0.7369666666666667,0.59123333325,0.22804999999999997,0.8725583334166667,0.026849999916666707,0.11550833316666664,0.0678750000833333,0.1676416666666667,0.14611666666666673,0.027208333416666727,0.010083333333333347
OP + GFC + EOP,0.6269666665555556,0.5319555556666667,0.2915111111111111,0.7733333334444445,0.013500000111111155,0.015300000000000017,0.08757777788888889,0.14499999977777783,0.2544444444444444,0.02068888866666664,0.11041111111111113
