Rank,Accuracy,F1 Score,Theil Index,Consistency,FPR Diff,FNR Diff,Accuracy Diff,FOR Diff,FDR Diff,Statistical Parity Diff,F1 Score Diff
1,Logistic Regression,DIR + EGR + ROC,DIR + EGR + ROC,OP + GFC + ROC,EGR + EOP,OP + GFC + EOP,DIR + GFC + ROC,OP + PR,Logistic Regression,OP + GFC + EOP,GSR + ROC
2,DIR,DIR,DIR,OP + GFC + CEOP,OP + GFC + ROC,GFC + EOP,DIR + GFC,DIR + GFC + CEOP,DIR,OP + EGR + ROC,GFC + EOP
3,GSR,DIR + GSR,DIR + EGR,OP + GFC,PR + EOP,OP + EGR + EOP,OP + PR + ROC,CEOP,GSR + CEOP,OP + EGR,GSR
4,DIR + EGR + ROC,DIR + EGR,DIR + GSR,OP + GSR,OP + EGR + EOP,OP + EOP,OP + ROC,PR + CEOP,DIR + EGR + CEOP,OP + GSR + EOP,EGR + ROC
5,DIR + EGR,Logistic Regression,DIR + PR + EOP,OP,OP + GFC + EOP,OP + GSR + ROC,ROC,DIR + CEOP,GFC + CEOP,OP + GFC + ROC,PR
6,DIR + GSR,OP + CEOP,DIR + ROC,OP + EGR + ROC,OP + GFC,OP + GFC + ROC,EOP,PR,GFC,GSR + ROC,DIR + GFC + EOP
7,EGR,OP + GSR + CEOP,DIR + CEOP,OP + PR,DIR + GFC,OP + PR + EOP,DIR + GFC + EOP,DIR + PR + CEOP,DIR + GFC,DIR + GFC,EOP
8,DIR + PR + CEOP,OP,Logistic Regression,OP + GSR + CEOP,GFC + EOP,DIR + GSR + EOP,OP + GSR + ROC,OP + GFC + ROC,DIR + PR,OP + EOP,GFC + ROC
9,CEOP,OP + GSR,DIR + PR + ROC,OP + CEOP,DIR + EOP,GSR + EOP,GFC + CEOP,DIR + GSR + CEOP,DIR + EGR,EGR + ROC,DIR + PR
10,PR + CEOP,GSR,DIR + GSR + CEOP,OP + PR + CEOP,DIR + GSR + EOP,OP + GFC,PR + ROC,GFC + CEOP,PR,OP + PR + EOP,Logistic Regression
11,DIR + CEOP,DIR + PR + EOP,DIR + EGR + CEOP,OP + GSR + ROC,DIR + EGR + EOP,EGR + EOP,GFC + EOP,OP + GSR,EGR + CEOP,OP + GSR + ROC,GSR + EOP
12,EGR + ROC,OP + PR + CEOP,GSR + EOP,OP + ROC,OP + PR + EOP,OP + GSR + EOP,GFC,GFC + ROC,DIR + EGR + ROC,EGR,EGR
13,GSR + CEOP,PR + EOP,PR + EOP,OP + EGR + CEOP,GSR + EOP,DIR + GFC + ROC,CEOP,DIR,DIR + CEOP,OP + GFC,EGR + EOP
14,DIR + GSR + CEOP,EGR,DIR + PR + CEOP,OP + EGR,OP + PR + ROC,DIR + EGR + EOP,GSR + CEOP,DIR + PR,PR + CEOP,DIR + EGR + EOP,OP + EGR
15,PR + EOP,OP + EGR + ROC,DIR + EOP,DIR + GFC,EOP,EOP,DIR + GSR + ROC,GFC,GFC + ROC,DIR + PR + ROC,DIR + GFC
16,DIR + EGR + CEOP,OP + EGR,CEOP,DIR + GFC + ROC,GSR + ROC,DIR + GFC,GSR + ROC,Logistic Regression,GFC + EOP,OP + EGR + EOP,PR + EOP
17,DIR + PR + EOP,DIR + EOP,GSR,DIR + GFC + CEOP,PR + ROC,DIR + EOP,GSR + EOP,DIR + EGR + CEOP,GSR + ROC,DIR + GSR + ROC,DIR
18,EGR + EOP,EOP,DIR + GSR + ROC,OP + PR + ROC,OP + EOP,OP + EGR + ROC,DIR + CEOP,PR + EOP,DIR + PR + CEOP,OP + PR + ROC,DIR + GSR + EOP
19,EGR + CEOP,GSR + EOP,OP + GSR + CEOP,GFC,OP + ROC,DIR + PR,DIR + GFC + CEOP,DIR + GFC + ROC,DIR + GSR,DIR + GSR + EOP,DIR + EOP
20,GSR + EOP,OP + EGR + CEOP,OP + CEOP,GFC + CEOP,ROC,DIR + PR + ROC,DIR + GSR + CEOP,DIR + GFC,CEOP,GFC + EOP,OP + EGR + ROC
21,DIR + EOP,DIR + GSR + ROC,GSR + CEOP,GFC + ROC,EGR,OP + ROC,PR + CEOP,DIR + ROC,DIR + GFC + ROC,DIR + EOP,GFC
22,ROC,DIR + EGR + EOP,DIR + EGR + EOP,DIR + CEOP,EGR + ROC,DIR + ROC,DIR + EOP,OP + EGR + CEOP,GSR,DIR + GFC + EOP,OP + EOP
23,DIR + GSR + EOP,OP + PR + ROC,EGR,DIR + GSR + CEOP,OP + GSR + ROC,PR + EOP,PR + EOP,DIR + PR + ROC,EOP,DIR + GFC + ROC,OP + GFC + EOP
